Outlying	Skewed	Clumpy	Sparse	Striated	Convex	Skinny	Stringy	Monotonic
0.0260668303	0.6246974011	0.0244366798	0.0401067573	0.0680851064	0.4627141259	0.6505991553	0.368087963	0.3222354452
0.0475003365	0.5838137888	0.0589685297	0.0343880646	0.0505617978	0.2490027865	0.7331096994	0.3517199267	0.4760948302
0.0086451741	0.5676898119	0.035340514	0.0395647492	0.0425531915	0.4741759389	0.6867821299	0.2962962963	0.5800622202
0.1235331021	0.6044928598	0.1793751516	0.0303335067	0.0487804878	0.329367105	0.7322059452	0.3835473061	0.7694299581
0.0229978281	0.5885684302	0.0234306379	0.0357264343	0.0491071429	0.4420628136	0.6628559376	0.4050341106	0.6320968923
0.0253305831	0.6765970173	0.063846257	0.0338280799	0.1071428571	0.3181437996	0.6940439021	0.4059768933	0.8494413341
0.1987436743	0.6602520063	0.0590503969	0.0383172092	0.0418848168	0.2895477422	0.7109792739	0.3584327361	0.5996851113
0.0169962019	0.5254534339	0.0355825618	0.0515659951	0.0202702703	0.5655602087	0.4693099661	0.4254910518	0.5736060328
0.1179786472	0.62198692	0.1066604292	0.0315940261	0.0844155844	0.2134133379	0.7502239601	0.4463424844	0.8582975427
0.1878805638	0.6205687063	0.1579301206	0.0323216155	0.05	0.2422841232	0.70448926	0.3788390035	0.9224359451
0.0693442796	0.6779838149	0.050419672	0.0339138915	0.0598802395	0.335606214	0.7155270205	0.5036371902	0.6232651993
0.0284577437	0.6440765176	0.0344853509	0.0429174105	0.0509259259	0.4735915174	0.6329988575	0.3018517085	0.5748270988
0.0858003899	0.5959156735	0.0657390267	0.0314227121	0.0891719745	0.2459900715	0.7256779695	0.509029021	0.7916193374
0.0373923839	0.5930050497	0.0349380369	0.0299754954	0.0519480519	0.4066397745	0.7161203593	0.481890304	0.9400947096
0.2000356253	0.7068273214	0.0337342821	0.0355866954	0.0878378378	0.2537539151	0.682757607	0.465484375	0.9049222915
0.4162671854	0.7873778476	0.0383880098	0.0540429346	0.0841584158	0.2651955184	0.6328194603	0.3545825274	0.4796599569
0.1100096465	0.6685485888	0.0181070939	0.0671262883	0.0426829268	0.5651840272	0.4711632764	0.3300208989	0.0201974279
