 Alabama	 Alaska	 Arizona	 Arkansas	 California	 Colorado	 Connecticut	 Delaware	 District of Columbia	 Florida	 Georgia	 Hawaii	 Idaho	 Illinois	 Indiana	 Iowa	 Kansas	 Kentucky	 Louisiana	 Maine	 Maryland	 Massachusetts	 Michigan	 Minnesota	 Mississippi	 Missouri	 Montana	 Nebraska	 Nevada	 New Hampshire	 New Jersey	 New Mexico	 New York	 North Carolina	 North Dakota	 Ohio	 Oklahoma	 Oregon	 Pennsylvania	 Rhode Island	 South Carolina	 South Dakota	 Tennessee	 Texas	 Utah	 Vermont	 Virginia	 Washington	 West Virginia	 Wisconsin	 Wyoming	 Puerto Rico	 Virgin Islands
0	0	0.016493586	0.001652893	0	0.019498607	0.129166667	0.026058632	0.167553191	0.078908003	0.005505309	0.022140221	0	0	0.011272142	0	0.008080808	0	0.012809564	0.072687225	0.052509653	0.093925472	0	0	0	0.03010279	0	0	0	0.09569378	0.059090909	0	0.098326792	0	0	0.028156222	0	0	0.024410774	0.11299435	0	0	0	0	0	0.43125	0.006692161	0	0	0	0	0.006185567	0.459459459
0.015518914	0.012	0.043982896	0.042975207	0.011512779	0.023955432	0.120833333	0.039087948	0.207446809	0.121540763	0.014156508	0.062730627	0.015801354	0.011301637	0.019323671	0.020725389	0.022222222	0.013348165	0.029035013	0.068281938	0.067953668	0.099540582	0.013094418	0.009369676	0.008474576	0.043318649	0.005	0.020151134	0.007177033	0.093301435	0.078977273	0.004728132	0.105350134	0.015221239	0.015625	0.033605813	0.02962963	0.000925926	0.022727273	0.11299435	0.026517795	0	0.01338766	0.014370792	0.008353222	0.41875	0.021510516	0.007458048	0.002994012	0.011784512	0.017621145	0.01443299	0.567567568
0.030067895	0.024	0.05681124	0.080991736	0.029357587	0.04178273	0.154166667	0.061889251	0.234042553	0.154824233	0.037750688	0	0.040632054	0.042478566	0.05958132	0.069084629	0.052525253	0.047830923	0.049530316	0.094713656	0.101158301	0.121490556	0.045485872	0.036626917	0.027845036	0.098384728	0.0225	0.057934509	0.013755981	0.098086124	0.138068182	0.033096927	0.125593886	0.032566372	0.052083333	0.076294278	0.055555556	0.019444444	0.050084175	0.132768362	0.073272854	0.035842294	0.047729919	0.02472812	0.029832936	0.3625	0.047801147	0.033561218	0.038922156	0.031144781	0.039647577	0.01443299	0.594594595
0.061105723	0.06	0.058643861	0.120661157	0.037877044	0.031197772	0.183333333	0.09771987	0.22606383	0.134442782	0.054266614	0.084870849	0.0496614	0.100935308	0.06763285	0.148531952	0.111111111	0.102335929	0.054654142	0.140969163	0.155212355	0.153139357	0.11371468	0.086030664	0.047215496	0.185756241	0.05	0.128463476	0.031698565	0.059808612	0.1875	0.080378251	0.148729601	0.064070796	0.083333333	0.138056312	0.108641975	0.04537037	0.078703704	0.163841808	0.117934403	0.100358423	0.097788126	0.046737442	0.046539379	0.1	0.089388145	0.06463642	0.107784431	0.095959596	0.061674009	0.010309278	0.567567568
0.080504365	0.124	0.054978619	0.138842975	0.050886484	0	0.243055556	0.159609121	0.252659574	0.117614061	0.069602831	0.084870849	0.063205418	0.151987529	0.136070853	0.208981002	0.149494949	0.145717464	0.083689155	0.240088106	0.206177606	0.212353241	0.232942798	0.144804089	0.053268765	0.24743025	0.0825	0.186397985	0.043660287	0.129186603	0.260795455	0.120567376	0.202644082	0.090265487	0.119791667	0.222070845	0.137037037	0.071296296	0.143518519	0.217514124	0.148639218	0.189964158	0.132130384	0.063050233	0.048926014	0.10625	0.132409178	0.09384711	0.149700599	0.186868687	0.13215859	0.006185567	0.594594595
0.09699321	0.22	0.040928528	0.166942149	0.067925397	0.065181058	0.301388889	0.228013029	0.252659574	0.1078908	0.085725521	0.110701107	0.110609481	0.1979735	0.157004831	0.255613126	0.183838384	0.18131257	0.1058924	0.394273128	0.301930502	0.274629913	0.308063405	0.207836457	0.06779661	0.303964758	0.1625	0.201511335	0.061004785	0.23923445	0.357386364	0.170212766	0.242511878	0.118230088	0.140625	0.288828338	0.159259259	0.101851852	0.195286195	0.290960452	0.187718074	0.279569892	0.168800931	0.083635422	0.071599045	0.275	0.176386233	0.124922312	0.188622754	0.284511785	0.396475771	0.004123711	0.567567568
0.09214355	0.256	0	0.158677686	0.080244071	0.080779944	0.295833333	0.234527687	0.210106383	0.076851159	0.077860794	0.092250923	0.124153499	0.206936867	0.163446055	0.240069085	0.155555556	0.161290323	0.076857387	0.502202643	0.302702703	0.281265952	0.306685045	0.221465077	0.060532688	0.292217327	0.1875	0.198992443	0.093301435	0.30861244	0.363636364	0.158392435	0.245197273	0.116814159	0.145833333	0.279745686	0.141975309	0.113888889	0.216750842	0.338983051	0.18422889	0.311827957	0.156577416	0.083117556	0.065632458	0.4375	0.181166348	0.118085768	0.179640719	0.308922559	0.453744493	0.01443299	0.486486486
0.097963143	0.256	0.001832621	0.173553719	0.08392816	0.094707521	0.281944444	0.231270358	0.196808511	0.074981301	0.090051121	0.121771218	0.146726862	0.214731099	0.183574879	0.260794473	0.177777778	0.17352614	0.089666951	0.440528634	0.2996139	0.281265952	0.316333563	0.231686542	0.065375303	0.312041116	0.195	0.211586902	0.104665072	0.320574163	0.352272727	0.177304965	0.252840322	0.125309735	0.15625	0.284287012	0.155555556	0.137037037	0.226010101	0.327683616	0.187718074	0.347670251	0.164144354	0.08713102	0.07875895	0.45625	0.184512428	0.137352393	0.203592814	0.313973064	0.444933921	0.016494845	0.405405405
0.075654704	0.196	0.017715333	0.145454545	0.07402717	0.050139276	0.255555556	0.172638436	0.218085106	0.055160808	0.080613449	0.081180812	0.112866817	0.192517537	0.166666667	0.221070812	0.165656566	0.169076752	0.086251067	0.325991189	0.239382239	0.238897397	0.272915231	0.195059625	0.053268765	0.280469897	0.15	0.171284635	0.090311005	0.234449761	0.261931818	0.120567376	0.216690766	0.103716814	0.140625	0.246594005	0.155555556	0.119444444	0.174242424	0.288135593	0.153524075	0.247311828	0.133876601	0.067452097	0.07398568	0.36875	0.15917782	0.134244873	0.173652695	0.245791246	0.303964758	0.020618557	0.432432432
0.062075655	0.1	0.024434942	0.102479339	0.048699056	0.000557103	0.188888889	0.104234528	0.220744681	0.038145101	0.048368069	0.084870849	0.054176072	0.134840218	0.106280193	0.146804836	0.137373737	0.140155729	0.048676345	0.244493392	0.156756757	0.177641654	0.16609235	0.114991482	0.030266344	0.198237885	0.1	0.120906801	0.077751196	0.129186603	0.171590909	0.059101655	0.170625904	0.075752212	0.104166667	0.152588556	0.114814815	0.072222222	0.109427609	0.186440678	0.101884159	0.154121864	0.109429569	0.055670637	0.040572792	0.2875	0.100382409	0.085767557	0.116766467	0.15993266	0.13215859	0.022680412	0.513513514
