Outlying	Skewed	Clumpy	Sparse	Striated	Convex	Skinny	Stringy	Monotonic
0.0722649204	0.6913930244	0.024926537	0.0446899923	0.04	0.630265241	0.5820492384	0.3568569434	0.6995803834
0	0.495051582	0.0237277786	0.0282644328	0.0463917526	0.4877256976	0.7047768119	0.405224	0.9498547599
0.0496567591	0.6698621593	0.0300550545	0.0479614853	0.0653061224	0.5705532199	0.6491131043	0.3854289208	0.511447266
0.0129812962	0.5975118868	0.0270911416	0.0264899473	0.0408163265	0.4313833994	0.7483650025	0.3509354216	0.9839409226
0.1096008021	0.6392037155	0.0216236398	0.040753765	0.0418604651	0.4943925956	0.6532668257	0.3538689224	0.7251002824
0	0.5785659679	0.0310438668	0.0318948661	0.0384615385	0.5685132449	0.6496667542	0.3937027006	0.9175580252
0.0127908626	0.606891656	0.024037922	0.0275803946	0.0136986301	0.2928258285	0.7450576822	0.473933557	0.9785490786
0.1672446259	0.7178065042	0.0733062675	0.0470436864	0.0422535211	0.4645763918	0.6474466219	0.3777630481	0.6375160426
0	0.5990507481	0.0489100823	0.0296831804	0.0552486188	0.3117598124	0.715216623	0.4189316967	0.9568138475
0.0791907639	0.5228645893	0.0235857135	0.0277155567	0.0691823899	0.3527312733	0.715293076	0.3788390035	0.9718069854
0.0425296045	0.5605018357	0.0240142839	0.0306331714	0.0384615385	0.5374471744	0.6477230172	0.3644314869	0.9561687829
0.1433042495	0.6163123071	0.0428581398	0.0397323084	0.0448430493	0.4485512448	0.6430754813	0.3154358616	0.6792132934
0.0587565119	0.6624022969	0.0707739071	0.0343518221	0.0261780105	0.4764392126	0.656624244	0.3856553219	0.9148000733
0.0201169982	0.6283925593	0.0215080607	0.0323601319	0.0364583333	0.486308423	0.6720053504	0.3379559638	0.9452868456
0	0.583756047	0.0819274001	0.0301825586	0.0857142857	0.3369061488	0.6976407404	0.3644314869	0.9606385079
0.0287058084	0.618835707	0.0309143409	0.0360503853	0.0533980583	0.473768362	0.6014198925	0.3079908791	0.9229186433
0.0220454439	0.6252966968	0.024282157	0.0375731149	0.0669856459	0.4887429092	0.6594974188	0.2792066176	0.8372737452
0	0.4770739702	0.0188988362	0.0520708098	0.0514705882	0.6578066376	0.4057775353	0.3232165607	0.8015834364
0.0542129665	0.621440538	0.0242344357	0.0347005805	0.03125	0.5073107538	0.5872377431	0.3614443585	0.9460381001
0.0617378242	0.7065752679	0.0380272499	0.0374624427	0.0657276995	0.5091685865	0.6311299984	0.4294990642	0.9166802893
0.1005830136	0.6821560445	0.0375186915	0.040957027	0.0985221675	0.4374656255	0.6856512551	0.4245007705	0.8859283237
0.0172799115	0.6500098294	0.0301342448	0.0348796045	0.0794392523	0.4957040282	0.6647100078	0.3803703862	0.8923877
