 01 Alabama, 02 Alaska, 04 Arizona, 05 Arkansas, 06 California, 08 Colorado, 09 Connecticut, 10 Delaware, 11 District of Columbia, 12 Florida, 13 Georgia, 15 Hawaii, 16 Idaho, 17 Illinois, 18 Indiana, 19 Iowa, 20 Kansas, 21 Kentucky, 22 Louisiana, 23 Maine, 24 Maryland, 25 Massachusetts, 26 Michigan, 27 Minnesota, 28 Mississippi, 29 Missouri, 30 Montana, 31 Nebraska, 32 Nevada, 33 New Hampshire, 34 New Jersey, 35 New Mexico, 36 New York, 37 North Carolina, 38 North Dakota, 39 Ohio, 40 Oklahoma, 41 Oregon, 42 Pennsylvania, 44 Rhode Island, 45 South Carolina, 46 South Dakota, 47 Tennessee, 48 Texas, 49 Utah, 50 Vermont, 51 Virginia, 53 Washington, 54 West Virginia, 55 Wisconsin, 56 Wyoming, 72 Puerto Rico, 78 Virgin Islands
0.031813362,0,0.038647343,0.008915305,0.1291423,0.019585253,0.8978389,0.193965517,0.959390863,0.049267643,0.0368,0.300925926,0.006791171,0.240317776,0.106918239,0.042424242,0.121996303,0.051858254,0.151937984,0.386996904,0.409041981,0.676935229,0.326143227,0.061305732,0.065719361,0.218052738,0.013468013,0.02811245,0.004888268,0.264765784,0.457404231,0.097368421,0.78833967,0.128046262,0.012765957,0.121771218,0.033766234,0.031860226,0.320887992,0.679245283,0.1,0.014035088,0.042464115,0.012881779,0.01490313,0.275862069,0.263675476,0.019060902,0.12371134,0.049454545,0.005555556,0.077474892,0.115384615
0,0.010830325,0.034219002,0,0.101608187,0,0.726915521,0.11637931,0.984771574,0.04494008,0.03104,0.333333333,0,0.173783515,0.063679245,0,0.081330869,0.019014693,0.128682171,0.300309598,0.353067815,0.56793049,0.296376186,0.022292994,0.047957371,0.167342799,0,0,0,0.209775967,0.382504288,0.068421053,0.702154626,0.128872367,0,0.083640836,0.01038961,0.001027749,0.266397578,0.591194969,0.09375,0,0.023923445,0,0.003725782,0.227586207,0.197910264,0,0.051546392,0,0,0.070301291,0.153846154
0.008483563,0.032490975,0.041062802,0.011887073,0.103557505,0.006336406,0.746561886,0.150862069,1,0.056091877,0.04256,0.333333333,0.010186757,0.200595829,0.080188679,0.037878788,0.116451017,0.029386344,0.15503876,0.291021672,0.38320775,0.574249605,0.309318378,0.031050955,0.078152753,0.210953347,0.02020202,0.024096386,0.01047486,0.209775967,0.405946255,0.081578947,0.719898606,0.142090045,0.004255319,0.105781058,0.024675325,0.021582734,0.281533804,0.628930818,0.11640625,0.01754386,0.043660287,0.007064201,0.010432191,0.220689655,0.220036878,0.027429103,0.103092784,0.016727273,0.022222222,0.086083214,0.192307692
0.016967126,0.068592058,0.033011272,0.023774146,0.103923002,0.012096774,0.677799607,0.155172414,0.969543147,0.048601864,0.04032,0.305555556,0.0237691,0.184210526,0.068396226,0.110606061,0.118299445,0.035436474,0.176744186,0.27244582,0.356297094,0.523696682,0.320103538,0.063694268,0.106571936,0.209939148,0.053872054,0.062248996,0.016061453,0.175152749,0.352773013,0.092105263,0.672581327,0.125981,0.027659574,0.127921279,0.035064935,0.04008222,0.293642785,0.51572327,0.13984375,0.049122807,0.05861244,0.007479742,0,0.2,0.210202827,0.042770804,0.154639175,0.046545455,0.05,0.068866571,0.192307692
0.036055143,0.162454874,0.039049919,0.046062407,0.111963938,0.044354839,0.709233792,0.168103448,0.979695431,0.050432756,0.05184,0.324074074,0.037351443,0.227904667,0.113207547,0.148484848,0.153419593,0.05704408,0.215503876,0.340557276,0.368137783,0.558451817,0.37230371,0.10589172,0.120781528,0.256592292,0.097643098,0.092369478,0.022346369,0.195519348,0.380789022,0.139473684,0.735107731,0.135481206,0.046808511,0.161541615,0.064935065,0.057553957,0.32542886,0.547169811,0.16171875,0.087719298,0.079545455,0.016206108,0.010432191,0.220689655,0.242163491,0.072524407,0.221649485,0.095272727,0.116666667,0.103299857,0.269230769
0.078472959,0.267148014,0.039452496,0.078751857,0.130238791,0.046658986,0.756385069,0.202586207,0.989847716,0.054593875,0.07072,0.398148148,0.054329372,0.284011917,0.130503145,0.178787879,0.197781885,0.078651685,0.257364341,0.424148607,0.414424112,0.637440758,0.406384814,0.138535032,0.143872114,0.283975659,0.141414141,0.118473896,0.028631285,0.248472505,0.424242424,0.147368421,0.789607098,0.147459727,0.05106383,0.192291923,0.116883117,0.089414183,0.342078708,0.591194969,0.19375,0.10877193,0.104665072,0.033243299,0.029061103,0.275862069,0.274738783,0.110181311,0.273195876,0.155636364,0.188888889,0.090387374,0.423076923
0.065747614,0.281588448,0.017713366,0.072808321,0.139376218,0.043202765,0.614931238,0.198275862,0.92893401,0.030459387,0.08096,0.435185185,0.049235993,0.268619662,0.148584906,0.18030303,0.184842884,0.090751945,0.217054264,0.424148607,0.362755651,0.508688784,0.40336497,0.10589172,0.147424512,0.254563895,0.127946128,0.126506024,0.035614525,0.232179226,0.360205832,0.118421053,0.683143219,0.131350682,0.042553191,0.173841738,0.098701299,0.107913669,0.281029263,0.41509434,0.19453125,0.136842105,0.083133971,0.030957823,0.028315946,0.289655172,0.248309773,0.09855881,0.25257732,0.129454545,0.211111111,0.028694405,0.269230769
0.086956522,0.296028881,0.022141707,0.095096582,0.140229045,0.059907834,0.601178782,0.193965517,0.944162437,0.039280959,0.09568,0.416666667,0.064516129,0.282025819,0.182389937,0.209090909,0.19038817,0.111495246,0.240310078,0.436532508,0.381054898,0.509478673,0.409404659,0.136942675,0.181172291,0.275862069,0.151515152,0.130522088,0.045391061,0.234215886,0.361921098,0.144736842,0.703422053,0.151590252,0.05106383,0.192291923,0.127272727,0.150051387,0.294651867,0.48427673,0.20546875,0.143859649,0.113038278,0.037710368,0.041728763,0.310344828,0.273509527,0.115295212,0.298969072,0.163636364,0.222222222,0.035868006,0.307692308
0.081654295,0.252707581,0.032608696,0.08320951,0.139498051,0.057603687,0.652259332,0.198275862,0.92893401,0.03511984,0.10112,0.402777778,0.083191851,0.259682224,0.177672956,0.213636364,0.188539741,0.099394987,0.251162791,0.383900929,0.385360603,0.52764613,0.36755824,0.131369427,0.179396092,0.294117647,0.138047138,0.124497992,0.046787709,0.221995927,0.346483705,0.147368421,0.73722011,0.155720777,0.05106383,0.18204182,0.11038961,0.141829394,0.308779011,0.540880503,0.1953125,0.122807018,0.11423445,0.037710368,0.053651267,0.255172414,0.259987707,0.124128312,0.298969072,0.171636364,0.188888889,0.034433286,0.269230769
0.073170732,0.194945848,0.035024155,0.084695394,0.166179337,0.058179724,0.628683694,0.189655172,0.913705584,0.050765646,0.09152,0.435185185,0.089983022,0.264150943,0.175314465,0.225757576,0.162661738,0.1019879,0.234108527,0.421052632,0.369214209,0.473933649,0.384383089,0.131369427,0.159857904,0.290060852,0.144781145,0.124497992,0.049581006,0.201629328,0.343053173,0.147368421,0.746514575,0.154068567,0.059574468,0.175071751,0.097402597,0.131551901,0.331987891,0.553459119,0.175,0.147368421,0.104066986,0.041138583,0.058122206,0.24137931,0.27228027,0.10088331,0.273195876,0.190545455,0.144444444,0.071736011,0.346153846
