Outlying	Skewed	Clumpy	Sparse	Striated	Convex	Skinny	Stringy	Monotonic
0.0125052243	0.6192284205	0.2344090176	0.0685947732	0.0595238095	0.3941451587	0.7182510267	0.3801476579	0.0072490037
0	0.6680801956	0.3645430598	0.0323216155	0.124137931	0.1013185024	0.7596040745	0.4861898598	0.5012056757
0.0114583166	0.5646740592	0.0223395429	0.068836475	0.0052083333	0.6504309828	0.5327036882	0.2777833071	0.003085647
0.1430373242	0.6256278346	0.372486943	0.0307414162	0.188034188	0.0834881357	0.7803643384	0.5646467458	0.8729981673
0.1136377151	0.7398006093	0.1391743619	0.0611645996	0.0970464135	0.3453156931	0.7122405129	0.3546921921	1.5734634142726718E-4
0.0502554276	0.6711735097	0.3761060683	0.0361079278	0.2237762238	0.0810444953	0.8221645233	0.6858717339	0.6401251041
0.0299674819	0.6653904101	0.1546430111	0.0335074274	0.1481481481	0.1616624558	0.7388384707	0.4911519356	0.7770227886
0.1415616926	0.6453018448	0.0780463788	0.0687338556	0.0963855422	0.4750566908	0.6369198529	0.4088282585	0.0016950132
0.06174925	0.6039604555	0.4596184276	0.0311706365	0.1776315789	0.0983949369	0.7849634051	0.4936432144	0.499579466
0.0399989144	0.6241965864	0.5258221747	0.0350695561	0.1860465116	0.0999772881	0.7964914141	0.5156311922	0.7007297699
0.0351360238	0.6752824906	0.5076347535	0.033901646	0.1703703704	0.1666850502	0.7134961729	0.480083391	0.8054226622
0.011912774	0.5637139373	0.032437929	0.0643470848	0.0518134715	0.5237151113	0.6525233839	0.3943703704	6.980427728309741E-4
0.062372002	0.6156081143	0.3321112196	0.0335074274	0.1776315789	0.1685004189	0.7380973007	0.6249426736	0.7960604323
0.0189391573	0.5820455864	0.2421112201	0.0315940261	0.1846153846	0.0922121746	0.8005232772	0.7000639376	0.8749890433
0	0.6075605064	0.2877322616	0.0313168223	0.125	0.1532989221	0.7449937681	0.5154672569	0.8012467026
0.0415544611	0.6850188628	0.2606631917	0.0336064156	0.201754386	0.1111720495	0.7180753512	0.5572724519	0.7550555465
0.0715256706	0.6962195831	0.0584610384	0.0647587457	0.0901639344	0.4541978253	0.7070014848	0.3336032694	0.0045343861
0.0672166476	0.5939992654	0.5668279633	0.0331335879	0.2097902098	0.0764639478	0.7985824856	0.5990242504	0.2138513286
0	0.6518144683	0.2111021107	0.0311439835	0.2727272727	0.0539133711	0.7371482258	0.6901530683	0.6768009172
0	0.6651828702	0.1775908694	0.0340239026	0.1764705882	0.117205163	0.7594633867	0.4768371582	0.7262222574
0	0.6218207011	0.1525901857	0.0326666277	0.1923076923	0.0674482237	0.7984582708	0.5661690458	0.5228680006
0.148801012	0.7445295794	0.4354983061	0.0451061523	0.0846153846	0.1999773219	0.7094017895	0.4551661356	0.8773549371
0.024595118	0.6122226921	0.0379650962	0.0689027944	0.0355029586	0.4794884541	0.6568477924	0.3291896124	0.0049375144
0.105606182	0.660333001	0.373919934	0.0428399422	0.11875	0.1967870446	0.7689071233	0.4830259445	0.3291946795
0.082721618	0.727534999	0.4042834142	0.0350577143	0.0942028986	0.1363617271	0.7620880163	0.4687094285	0.7876916149
0.0613065194	0.6671484648	0.2754059483	0.0367349474	0.0794701987	0.2569096763	0.6867187771	0.4574083293	0.8355289477
0.0515318215	0.6804988107	0.2602357107	0.0381543182	0.08	0.206704402	0.7148987978	0.3741635711	0.6799161947
0.1403876499	0.7341850547	0.0802136073	0.0425091269	0.0569105691	0.2159070026	0.744495335	0.3831567284	0.9371646148
0.0330013396	0.6542992144	0.2692986555	0.0314623289	0.1129032258	0.0998520254	0.7508114883	0.474552	0.8272986062
0.127371741	0.7311004294	0.0422659238	0.0620742855	0.0630252101	0.4905318143	0.6079019903	0.3995975978	0.002599728
0	0.5808640679	0.211395551	0.031790549	0.2517006803	0.071158397	0.7824949029	0.6322201463	0.1940340276
0	0.6107885555	0.2572193629	0.0337666525	0.1743119266	0.0526359808	0.8037216399	0.5076975016	0.6599937393
0.1063881374	0.6799952108	0.140052598	0.032806148	0.132231405	0.1256291753	0.7379040397	0.5081309988	0.7134056477
0	0.5846859549	0.2363819182	0.0303335067	0.1507936508	0.0858078083	0.7674762909	0.572177032	0.576826214
0	0.6474539767	0.2759915976	0.0306331714	0.1573033708	0.1169991537	0.8130687152	0.6625870295	0.9855824796
0.1356040813	0.7290402354	0.0891604799	0.0464038482	0.0916666667	0.2345874036	0.6923829411	0.4353380959	0.9117186094
0.0523971189	0.6907251557	0.1848584661	0.0357264343	0.1979166667	0.1383405063	0.7258673622	0.5659386461	0.9427012525
0.0789016724	0.6054169191	0.0431005713	0.0664736259	0.0304878049	0.3784268605	0.7194285221	0.3960533142	9.635432424588429E-4
0.039066295	0.6691215107	0.4773649731	0.0342064682	0.1857142857	0.0936032826	0.7880984018	0.6349564029	0.5572559312
0	0.598594979	0.1177072188	0.0323216155	0.2162162162	0.0743762226	0.7817146258	0.6757983493	0.8394988872
0.0663302327	0.6734568656	0.5320909139	0.0314227121	0.0970149254	0.1686308188	0.7234963386	0.4539029556	0.9042306485
0	0.596020412	0.1654245737	0.0317382619	0.1407407407	0.1378514569	0.7758099921	0.5787037037	0.8645737627
0.042922584	0.6197558758	0.3508430835	0.0337174299	0.24	0.0612182974	0.7912478948	0.6370885582	0.8365271209
0.0484943844	0.7170291954	0.1900549628	0.0406006508	0.1076923077	0.1948597493	0.7639851385	0.5227409122	0.8921282248
0	0.6480266513	0.1062812413	0.0329198612	0.1666666667	0.0847168028	0.7552645998	0.6190643196	0.8884344071
0.0571993123	0.6243067975	0.5553183373	0.0314227121	0.1272727273	0.1845420076	0.7559039684	0.5899768386	0.9269652544
0.011026626	0.5843112291	0.0826334806	0.067323937	0.0710382514	0.4826185689	0.6592087999	0.3958765573	0.0027229216
0.0302799309	0.6262937031	0.4599289879	0.0371731531	0.1489361702	0.1139437805	0.8015619137	0.5554809645	0.7015172727
