Outlying	Skewed	Clumpy	Sparse	Striated	Convex	Skinny	Stringy	Monotonic
0.1705096706	0.7412750761	0.0314712061	0.0559041004	0.1045454545	0.5116512061	0.6849881318	0.4909615912	4.8113320652181285E-4
0.7612418619	0.9594509196	0.0950040673	0.1205397396	0.8461538462	8.511510584473126E-4	0.7476969552	0.9210905573	9.154940443659249E-5
0.3036144619	0.961576984	0.4436884428	0.1495622704	0.76	0.0013155651	0.7376406112	0.8751541054	0.0117405383
0.0208364052	0.8180407694	0.0487275386	0.0964930983	0.4782608696	0.8711660291	0.109771516	0.5846087982	0.0242012612
0.1871560213	0.8173240383	0.0887103788	0.0986980738	0.4297520661	0.7300827746	0.3153800161	0.5351523487	0.0012453584
0.6793108014	0.9783585463	0.0437186886	0.3996823505	0.4545454545	0	1	0.7023319616	0.0289346461
0.0129413314	0.5855593219	0.0280538151	0.0663078512	0.0614035088	0.6448714105	0.6116672523	0.4010169233	2.850399643880241E-4
0.3535166451	0.7299109284	0.0191325256	0.049240733	0.0688073394	0.5127111019	0.5912664357	0.4590787172	0.0923891549
1.2472540835	0.8564330604	0.0630246766	0.0544452221	0.9523809524	0.0215782908	0.7429647335	1	4.6772232778872965E-4
0.1437468746	0.8395355842	0.1145825031	0.0943236631	0.6218905473	0.6282729953	0.3817879994	0.7316735915	0.0112412745
0.0091287498	0.5847331863	0.0348063378	0.0630505695	0.0410958904	0.6113877296	0.6578308687	0.2990313218	3.480222802233136E-5
0.3423476398	0.7075518262	0.0343704054	0.051554976	0.0751173709	0.5116629559	0.5907083209	0.3943703704	0.1080916524
0.4922248754	0.6656850065	0.062044701	0.0354496579	0.8541666667	0	1	0.8725048011	0.0047348369
0.0138711842	0.7840795766	0.0343396976	0.0797739577	0.6226415094	0.7744352172	0.3277495872	0.6884156208	9.923911440195246E-4
0.0886839919	0.6420554208	0.2228677917	0.0364886537	0.0710900474	0.5042047893	0.6252488083	0.3495124859	0.9232329426
0.0172051222	0.5709217185	0.0378536764	0.0599316275	0.0405405405	0.5985922001	0.6754015076	0.3772174107	2.9787953069038855E-5
0.3692235276	0.7286594419	0.019541656	0.054051564	0.0913461538	0.5616582027	0.5074358537	0.3561908896	0.0897112896
0.8032198079	0.9334986017	0.066179127	0.0779460554	0.8666666667	0.0015970088	0.8868434567	0.9318424793	0.002961957
0.0765706472	0.8049361166	0.0937292818	0.0852344673	0.644549763	0.7275444325	0.339239833	0.7302729916	4.3192794576114163E-4
0.0920086749	0.6712169858	0.0409809173	0.0354496579	0.045045045	0.4698648632	0.6647984785	0.3377767402	0.92108761
0	0.5115096727	0.0589183064	0.0262979792	0.0534351145	0.4543049765	0.733779826	0.4177923672	0.9892343566
0.012982468	0.5211467766	0.0231386085	0.0598150222	0.0418604651	0.606221998	0.6418063702	0.3777630481	3.483726541926066E-4
0.3056249402	0.7417079331	0.019484658	0.0536550179	0.0849056604	0.5496920568	0.5278341926	0.4344800053	0.0935505317
0.9012619909	0.8786012375	0.1156118417	0.0670898177	0.8571428571	6.30306694744543E-4	0.7835378951	0.926859375	0.0020619571
0.1176841785	0.8343577615	0.1087534093	0.0870083888	0.6744186047	0.733586353	0.3143464894	0.7215103328	3.466897639013399E-4
0.0338849364	0.6457722435	0.0164778836	0.0382470807	0.0779220779	0.5221237937	0.6135543702	0.3582548146	0.8720848796
0.1188125974	0.5664903784	0.0355369857	0.0297284638	0.040201005	0.4520784482	0.6741390308	0.3303336902	0.9579690776
0.122290732	0.5369515766	0.0260071622	0.0284435925	0.0567010309	0.5147071949	0.6679988012	0.3409902395	0.9643018746
0.0739757573	0.6150133189	0.0252339765	0.0605044963	0.0582010582	0.6450464253	0.5057402867	0.4190116048	8.290342210839749E-6
0.3049185486	0.7720315372	0.0166759473	0.0545733021	0.0808080808	0.6343006292	0.4549266722	0.3658814778	0.0676293695
0.5647243135	0.8939336791	0.0521804426	0.0689732371	0.8378378378	3.337930606720177E-4	0.8154549193	0.9167113703	0.0025314788
0.1489244767	0.8076182886	0.1117938249	0.0726445267	0.6393442623	0.65448709	0.2724431117	0.6894847471	4.4645409494106254E-4
0.1288078294	0.6633235485	0.011799026	0.0373672204	0.0811965812	0.5525293341	0.6086810617	0.368087963	0.7844133009
0.1409140278	0.6269631921	0.063857234	0.0341635798	0.036199095	0.5122863393	0.596891871	0.3412319623	0.8469180678
0.1988311244	0.6081154279	0.0452748684	0.0332497866	0.0487804878	0.490878374	0.5795132269	0.3910187988	0.8728448542
0.1825966395	0.6070135696	0.0417201039	0.0308670643	0.015625	0.6015485848	0.584769446	0.2682456949	0.9182663015
0.0378547144	0.6150589042	0.0234469881	0.0586011875	0.0456621005	0.6149938006	0.6494819842	0.2990313218	0.001952445
0.2416914349	0.7310956135	0.0310956577	0.0542336074	0.0913461538	0.5977102523	0.5758996081	0.4116687947	0.0646818997
0.810131077	0.8904063174	0.0987804878	0.0833785158	0.9444444444	0.0771610748	0.8186856594	1	2.8796497803515166E-4
0.1322670289	0.7951425426	0.0745339678	0.0825170318	0.6195121951	0.6809144244	0.3047011649	0.6937320745	6.860285667638528E-4
0.0808215937	0.5537766574	0.0155342486	0.0518805478	0.0071428571	0.5824459504	0.5117422715	0.3181815757	0.7758650309
0.0913473367	0.5280681865	0.0150055167	0.0525959585	0.0241935484	0.6584542461	0.45255154	0.3259050397	0.8478898071
0.1241312765	0.6593245309	0.0425749018	0.0382470807	0.0344827586	0.6108677468	0.5317526588	0.3718518119	0.8458160752
0.2445539238	0.7173787256	0.0310358706	0.037728159	0.0613207547	0.5891905414	0.5495108535	0.3249511719	0.8736500078
0.1860624743	0.6928290952	0.0198906649	0.0414125125	0.0440528634	0.5671946938	0.5533522562	0.3619239396	0.7092029192
0.2415326463	0.606857677	0.0429175597	0.0510747888	0.18125	0.5029705353	0.461365343	0.3752913239	1.4167955033928832E-5
0.5354296635	0.7746389861	0.1412910501	0.0764941614	0.3333333333	0.5947091092	0.2899387479	0.4567374788	2.9454063212549398E-5
0.3111208545	0.9897247527	0.0607308323	0.283669659	0.6153846154	0	1	0.7513148009	0.0686591912
0.3939788107	0.9549777803	0.1185232348	0.0988228239	0.1551724138	0.6163061538	0.3406140338	0.3746965676	0.0238993574
0.2938064103	0.6766781642	0.1050111361	0.0484504087	0.4294871795	0.6375545218	0.4528244921	0.5630639209	0.290829202
0.252442578	0.6510324336	0.0741157968	0.0480418245	0.4936708861	0.6011069487	0.4942481924	0.6553588714	0.2978478143
0.2709473293	0.6616020405	0.0613449271	0.0491489048	0.36875	0.6352980825	0.4626687535	0.4487953186	0.3167671966
0.2872906506	0.6547280935	0.05812933	0.0514991849	0.2986111111	0.6899656334	0.4093447895	0.4107736034	0.3017816372
0.2802784771	0.659751394	0.0838135149	0.0489395636	0.45	0.6663430394	0.4408636699	0.5757907711	0.2816179789
0.3003947578	0.5473220504	0.0449577785	0.0489479544	0.2517985612	0.6493638735	0.395715654	0.4142509391	0.2223695976
0.0891217644	0.6194862069	0.0215514904	0.0639944734	0.0164835165	0.6338609716	0.4558178473	0.421875	5.009436577404478E-4
0.3328948207	0.8488670028	0.032811826	0.0607280734	0.0648648649	0.5351753809	0.6013634943	0.3988688486	0.0480900408
0.0664495932	0.9118918926	0.2899900513	0.09157548	0.8205128205	6.659259447300713E-4	0.8557960151	0.8424211248	2.4041639677507934E-4
0.0737928711	0.8561036303	0.0872558917	0.096972839	0.537037037	0.6635542123	0.4259690933	0.614125	0.0014864238
0.0723583789	0.5110568348	0.0246206123	0.0540287655	0.0347222222	0.6011020106	0.4383584978	0.3605058674	0.5631556189
0.0801644496	0.5445045517	0.0307902748	0.0561094152	0.0208333333	0.628987863	0.489808797	0.2555828971	0.6002509259
0.0840106359	0.5866147751	0.0410104647	0.0564087065	0.04	0.6893031358	0.3504564972	0.3249511719	0.5643518725
0.1113628263	0.5473125477	0.0309413036	0.0552166833	0.013986014	0.5871230215	0.5313025967	0.3175537512	0.5464776203
0.1739257347	0.7413695111	0.0171599473	0.0435395799	0.0632911392	0.6242349586	0.5632339955	0.3169609316	0.3557516066
0.2762835042	0.7747591193	0.0322797176	0.049123831	0.0357142857	0.5276160672	0.5710997318	0.3455854163	0.5724934172
0.2538004776	0.6846712291	0.0465875955	0.0543848448	0.2962962963	0.6734941609	0.4438334667	0.4298850729	0.0576801871
0	0.6210904107	0.0217434458	0.0654099039	0.037037037	0.7083319517	0.5324681809	0.321679876	1.4642968307114823E-4
0.2573371577	0.7867911451	0.0215051616	0.0564305435	0.0751173709	0.5904421272	0.5225696177	0.4243762287	0.0905843011
0.8190273124	0.8992943094	0.0531868324	0.058915705	0.8723404255	8.684955269755259E-4	0.8079870274	0.9348038409	0.0015443861
0.0373437775	0.7736686154	0.0344331536	0.0852681882	0.5571428571	0.7708743329	0.2440637571	0.6452646952	7.040773035201647E-4
0.121118822	0.6241688164	0.0548348215	0.0371909589	0.0379746835	0.5051044463	0.563883341	0.3373462686	0.8687311655
0.0497290084	0.6586592038	0.0247401868	0.0336304983	0.037037037	0.448058715	0.6681534448	0.307546875	0.9378476199
0.1111979789	0.6381290438	0.0405612139	0.0356345335	0.0514018692	0.5231530329	0.6354495825	0.3338942871	0.9325492607
0.0946029237	0.5982556778	0.0654387076	0.0341996237	0.05	0.5259752726	0.5779484253	0.3517199267	0.9363468241
0.0592564559	0.614890989	0.0241777374	0.0381072372	0.0386266094	0.5536434244	0.5883189538	0.2937346711	0.7502223223
0.1551728634	0.7309976907	0.1001390738	0.0418956173	0.0504587156	0.6407816301	0.495327941	0.3565379414	0.8897069786
0.2344016927	0.7086450447	0.1253674968	0.0504437122	0.4235294118	0.74609988	0.3752224909	0.5147282358	0.2563580226
0.1465771281	0.6835220404	0.0264881206	0.040245728	0.0502283105	0.5036586406	0.6163466328	0.4146014547	0.7758844472
0.0864254906	0.637676478	0.0297112451	0.0636018063	0.0483870968	0.6402051798	0.5200400266	0.3326067784	7.265246309186213E-6
0.208788021	0.7730735381	0.0283011476	0.0577327645	0.0994764398	0.5516014387	0.5004725583	0.3749432949	0.1289303689
1.317497611	0.9098727945	0.0794838137	0.0835556449	0.9411764706	0.120227659	0.8434676588	1	6.0987742969266226E-5
0.0540089979	0.7989369898	0.0979421615	0.0851910922	0.625	0.7054399239	0.2841695576	0.7038643217	0.0021021311
0.0841114461	0.5045757323	0.0228703064	0.0543848448	0.0217391304	0.5926113397	0.4675790173	0.3726669186	0.615392403
0.1433908874	0.5767472417	0.016162814	0.0534786845	0.0230769231	0.581544009	0.5009535589	0.4512005286	0.6672252512
0.137922857	0.6025781602	0.0222219776	0.0544074941	0.0205479452	0.6547692611	0.4422178061	0.244140625	0.583595694
0.100455292	0.516431705	0.0501158668	0.0525725287	0.0394736842	0.632264567	0.481253257	0.4007852556	0.5321888841
0.1194004941	0.6853047154	0.0257642796	0.044858978	0.0432900433	0.5917642677	0.5393734694	0.3546921921	0.4436342387
0.1319062453	0.59834044	0.027631505	0.0578393678	0.0805369128	0.6735931955	0.4593041312	0.389712501	0.4905538205
0.3643333627	0.6558426533	0.1041055805	0.0503377636	0.347826087	0.605697288	0.5252448427	0.5052335683	0.1371467585
0.2987432621	0.8493841423	0.0179244071	0.058915705	0.0563380282	0.6272784071	0.4064603495	0.396967752	0.5630490509
0.0933615863	0.5896596233	0.0317405878	0.0570385864	0.0333333333	0.6342289401	0.5395554999	0.308471364	0.610827796
0.0598734212	0.5830745338	0.0367894898	0.0631091636	0.0659898477	0.6505918472	0.5422877802	0.3950691954	4.563189360130589E-5
0.3489834808	0.7873693482	0.0211303172	0.061105605	0.0430107527	0.6821702116	0.4758970157	0.3936341471	0.118281375
0.7804197718	0.9439809589	0.0634138701	0.1179428872	0.8536585366	5.484769146544132E-4	0.8470104148	0.9250324517	0.0034931469
0.0598887165	0.8273419266	0.0891370758	0.0852681882	0.6113989637	0.8075172521	0.2099046013	0.6749715162	0.0022457319
0.1217377089	0.6387609085	0.0482789489	0.0570385864	0.0289855072	0.5982486134	0.4655428181	0.4576762374	0.5816774219
0.0302276186	0.6116258598	0.0365244869	0.0538460296	0.0211267606	0.5300817068	0.4595670913	0.3624106145	0.6281985115
0.0930279635	0.5470279933	0.0399873774	0.0537467882	0.0197368421	0.5347933899	0.4526831219	0.4007852556	0.5499551343
0.0841813199	0.6015562644	0.0204490352	0.0579032356	0.0264900662	0.5554434471	0.5384215979	0.3124544461	0.5140139831
0.1468948369	0.643224079	0.0192985671	0.0435018343	0.0669456067	0.5566990611	0.5215339099	0.3668264288	0.4235632203
0.1847200055	0.6801132426	0.0380935698	0.0656793266	0.0202702703	0.7295403718	0.3830237671	0.3934438938	0.4609141436
0.2693089772	0.7329874151	0.0782025916	0.0499199476	0.3445945946	0.4879581373	0.5766198468	0.5183209167	0.1343058127
0.2034461736	0.7916657997	0.0151061603	0.051283422	0.0530973451	0.6017248701	0.5126511696	0.438588896	0.5326928893
0.0737782426	0.6153306097	0.0347729092	0.0609103897	0.0479452055	0.6947563946	0.3958811695	0.2962962963	0.5840500176
0.2087561138	0.7216940314	0.0315475132	0.0353452404	0.017699115	0.3884829546	0.7202118149	0.4266329441	0.9803979184
0.5462278376	0.7328596517	0.1529905539	0.0593255462	0.081871345	0.468348745	0.5255109365	0.4282030203	0.0034277734
0.626678218	0.7535008694	0.1026625141	0.059186935	0.096	0.51724568	0.3458796363	0.3621102742	0.0614405467
0.4445692503	0.9610856486	0.1055560008	0.1341337176	0.6818181818	0	1	0.7162851728	0.0115270662
0.2589928009	0.9437148514	0.1643959014	0.0979168819	0.375	0.5933266536	0.3535588485	0.5316901908	6.607438228527095E-4
0.3606362986	0.6420669655	0.0271797187	0.0404188287	0.0924855491	0.3640369025	0.5662250372	0.4374599676	0.3504535381
0.4263926653	0.7649690927	0.031172233	0.0508249146	0.0914634146	0.4395806391	0.5687328281	0.2925771396	0.3422151322
0.5111380943	0.712549188	0.0380915958	0.0517854704	0.0606060606	0.4088297172	0.5078279976	0.398688256	0.2951513241
0.4654706841	0.752113884	0.0670351421	0.0521017205	0.076433121	0.5458212943	0.4142163638	0.4705075446	0.2918472339
0.388060989	0.7242701013	0.025800571	0.0470048285	0.04375	0.5707073525	0.4913139831	0.335579587	0.1783153828
0.5322044478	0.7725186285	0.0259870051	0.0547461098	0.0387096774	0.4598792111	0.4376288167	0.4253711839	0.2733222252
0.4678867036	0.9136488992	0.1350649351	0.0669550129	0.2530120482	0.6932853973	0.3218651315	0.4347886579	0.0218624116
0.4144476753	0.810311769	0.066464697	0.0570961575	0.0753424658	0.4398489241	0.5376523911	0.3885850789	0.3347852315
0.4288491073	0.7569677476	0.0215677982	0.0534786845	0.0481927711	0.4726379103	0.5815569401	0.360944128	0.3743977083
