Var 1	Var 2	Var 3	Var 4	Var 5	Var 6	Var 7	Var 8	Var 9	Var 10	Var 11	Var 12	Var 13	Var 14	Var 15	Var 16	Var 17	Var 18	Var 19	Var 20	Var 21	Var 22	Var 23	Var 24	Var 25	Var 26	Var 27	Var 28	Var 29	Var 30	Var 31	Var 32	Var 33	Var 34	Var 35	Var 36	Var 37	Var 38	Var 39	Var 40	Var 41	Var 42	Var 43	Var 44
0.7210749343	0.0906026408	0.0606222581	0.77696793	0.7206477733	0.8860055607	0.78	0.1983471074	0.1162790698	0.1756012484	0.0778077411	0.9090909091	0.0153923541	0.0161290323	0.9538461538	0.1407284768	0.0372144436	0.0138888889	0.040869452	0.6485557084	0.1205882353	0.0672475848	0.368720811	0.9795744681	0.140625	0.5885462555	0.9756097561	0.1884771636	0.8217550274	0.9891107078	0.1460674157	0.4415823367	0.069140625	0.1423930698	0.1294416244	0.0960428689	0.1622103387	0.0736842105	0.0377833753	0.0812785388	0.9171974522	0.4519230769	1	0
0.586976345	0.0919350326	0.0769185641	0.7142857143	0.6383265857	0.8767377201	0.72	0.2148760331	0.1240310078	0.1906554066	0.121589467	0.9696969697	0.054527163	0.064516129	0.9538461538	0.2822847682	0.0854826824	0.0208333333	0.0657295327	0.5178817056	0.2549019608	0.0867588558	0.3670121882	0.975177305	0.15234375	0.6026431718	0.9643527205	0.1866305552	0.7865630713	0.9927404719	0.1629213483	0.4374425023	0.078125	0.1429344884	0.1497461929	0.1088211047	0.1622103387	0.0789473684	0.0327455919	0.0849315068	0.8662420382	0.4519230769	0	0
0.7425307086	0.0985969915	0.0886519044	0.7871720117	0.7503373819	0.8785912882	0.7	0.2066115702	0.0930232558	0.1754176611	0.1137373096	0.9393939394	0.061167002	0.064516129	0.9384615385	0.4503311258	0.0147383935	0.0243055556	0.0786151243	0.6217331499	0.2941176471	0.0941466187	0.3741884041	0.9659574468	0.15234375	0.6101321586	0.9503667065	0.1936476671	0.7851919561	0.999092559	0.1924157303	0.4213431463	0.0884765625	0.1537628587	0.1345177665	0.1380873866	0.1515151515	0.0763157895	0.0528967254	0.0794520548	0.8280254777	0.4519230769	0	0
0.9356326771	0.0826082901	0.0951704268	0.8731778426	0.9217273954	0.81278962	0.68	0.2066115702	0.1007751938	0.1911143749	0.1314244924	0.9696969697	0.0663983903	0.0806451613	0.9384615385	0.309602649	0.1234340457	0.0243055556	0.0982689054	0.6478679505	0.0941176471	0.0698996022	0.3709989748	0.9567375887	0.16796875	0.6193832599	0.9350162033	0.1934014527	0.7646252285	1	0.2191011236	0.404323827	0.0990234375	0.1553871142	0.1421319797	0.1541632317	0.1229946524	0.0710526316	0.040302267	0.0812785388	0.7898089172	0.4519230769	0	0
0.9302687336	0.1159180846	0.1003852447	0.861516035	0.9014844804	0.8174235403	0.67	0.2066115702	0.1162790698	0.1466862493	0.1032677665	0.8787878788	0.0794768612	0.0967741935	0.8923076923	0.5504966887	0.0980103169	0.0104166667	0.1023037876	0.568088033	0.0382352941	0.0386436825	0.3388768652	0.9346099291	0.1640625	0.6114537445	0.9116493263	0.1721039025	0.7061243144	0.9718693285	0.2261235955	0.3500459982	0.10703125	0.1770438549	0.1878172589	0.1735366859	0.1140819964	0.0684210526	0.0302267003	0.0776255708	0.7579617834	0.4519230769	0.3333333333	0
0.8229898621	0.161219405	0.1036445059	0.7638483965	0.7773279352	0.7849860982	0.64	0.2066115702	0.0891472868	0.1276849642	0.0833597716	0.8181818182	0.0749496982	0.0806451613	0.8615384615	0.3261589404	0.118275608	0	0.1136274893	0.6072902338	0.0117647059	0.0085243417	0.3338649049	0.9153191489	0.16796875	0.6136563877	0.8874296435	0.1788748	0.7015539305	0.9500907441	0.2387640449	0.3307267709	0.1216796875	0.1922035734	0.2360406091	0.1887881286	0.1176470588	0.0605263158	0.0377833753	0.0794520548	0.7324840764	0.4519230769	0.3333333333	0
0.6459797243	0.1438983119	0.1108148805	0.6720116618	0.6437246964	0.7803521779	0.63	0.1983471074	0.0775193798	0.1075821553	0.0864530457	0.8181818182	0.1009054326	0.1129032258	0.8461538462	0.4147350993	0.1109064112	0.0208333333	0.1304178055	0.5887207703	0.0352941176	0.0505777609	0.3192846566	0.8936170213	0.171875	0.60969163	0.8626982773	0.1686569002	0.6809872029	0.9319419238	0.2415730337	0.2980680773	0.127734375	0.1965349215	0.2664974619	0.2333058533	0.110516934	0.0552631579	0.0352644836	0.0757990868	0.7324840764	0.4519230769	0.3333333333	0
0.4689695864	0.0839406819	0.1140741417	0.5991253644	0.5303643725	0.7877664504	0.63	0.1818181818	0.0930232558	0.1257572976	0.1100095178	0.8484848485	0.1108651911	0.1290322581	0.8461538462	0.2773178808	0.1705969049	0.0277777778	0.1378367825	0.6086657497	0.0107843137	0.004167456	0.3050461328	0.8746099291	0.171875	0.6118942731	0.838990278	0.1638557183	0.6535648995	0.9110707804	0.2247191011	0.274149034	0.138671875	0.2149431511	0.3121827411	0.2530915087	0.0837789661	0.0447368421	0.0125944584	0.0611872146	0.6624203822	0.4519230769	0.6666666667	0
0.4528777557	0.0719491559	0.123200073	0.5889212828	0.5276653171	0.7738646895	0.6	0.1652892562	0.0891472868	0.0495685699	0.0806630711	0.7575757576	0.1570422535	0.1774193548	0.7692307692	0.5455298013	0.1705969049	0.0416666667	0.1544969413	0.5337001376	0.0049019608	0.0102292101	0.2873903634	0.8509219858	0.1640625	0.6039647577	0.8139177895	0.1612704666	0.647166362	0.8929219601	0.2598314607	0.2433302668	0.1505859375	0.2057390363	0.3401015228	0.2666941467	0.0819964349	0.0394736842	0.0125944584	0.0639269406	0.6560509554	0.4519230769	0.6666666667	0
0.6674354986	0.1065913421	0.1264593342	0.7055393586	0.7044534413	0.7683039852	0.61	0.1652892562	0.0968992248	0.1051037268	0.1365799492	0.8484848485	0.1671026157	0.1935483871	0.8153846154	0.4387417219	0.2306558585	0.0381944444	0.1733697774	0.4855570839	9.80392156862745E-4	0.0447054366	0.2597106732	0.8324822695	0.16015625	0.5977973568	0.7943032577	0.1444047766	0.6106032907	0.8793103448	0.2626404494	0.2069917203	0.1609375	0.1884136437	0.3756345178	0.2765869744	0.0802139037	0.0447368421	0.0201511335	0.0602739726	0.6560509554	0.4519230769	0.6666666667	0
0.812261975	0.0572928464	0.1329778566	0.7871720117	0.8394062078	0.7488415199	0.6	0.1570247934	0.1356589147	0.0634294107	0.1442734772	0.8181818182	0.2226358149	0.2419354839	0.7692307692	0.6655629139	0.2973470892	0.0416666667	0.2642197058	0.2909215956	0.0245098039	0.0244364463	0.2220070623	0.810070922	0.140625	0.5938325991	0.7697424527	0.1190446879	0.5754113346	0.8539019964	0.2668539326	0.1600735971	0.1685546875	0.163508392	0.3883248731	0.2901896125	0.0409982175	0.0263157895	0.0176322418	0.0292237443	0.6178343949	0.4519230769	1	0
0.7532585957	0.0279802273	0.1375408222	0.72303207	0.7516869096	0.7460611677	0.54	0.1570247934	0.1240310078	0.0492931889	0.1564879442	0.8181818182	0.253722334	0.2741935484	0.7384615385	0.6481788079	0.3102431835	0.0763888889	0.2834830144	0.3431911967	0.0176470588	0.014396666	0.1884041463	0.7863829787	0.1328125	0.5850220264	0.7450110865	0.0970084944	0.5361060329	0.834845735	0.2865168539	0.1090156394	0.176171875	0.1472658365	0.4289340102	0.3112118714	0.0160427807	0.0131578947	0.0050377834	0.0118721461	0.6178343949	0.4519230769	1	0
0.5279729657	0.0039971753	0.1414519357	0.5655976676	0.5303643725	0.7303058387	0.51	0.1570247934	0.1356589147	0.0317606022	0.161643401	0.8181818182	0.2793762575	0.3064516129	0.7230769231	0.6043046358	0.395357406	0.0833333333	0.2807497071	0.3383768913	0.0539215686	0.0490623224	0.1681284884	0.7695035461	0.125	0.5854625551	0.7248848712	0.0861750585	0.4968007313	0.8221415608	0.2752808989	0.0929162833	0.18671875	0.1375203032	0.4771573604	0.3231657049	0	0.0078947368	0	0	0.5668789809	0.4519230769	1	0
