Control	Regional Code	Program Size Quartile	R Rankings	S Rankings	Research Activity	Student Support & Outcomes	Diversity	1:Publications per Allocated Faculty	2:Citations per Publication	3:Percent Faculty with Grants	4:Awards per Allocated Faculty Member	9:Percent 1st-yr Students with Full Support	15:Average Completion Percentage	16:Median Time to Degree	17:Percent with Academic Plans	Post-Graduation Employment  (1=Yes; -1=No)	14:Average Number of  Ph.D.s Graduated	5:Percent of Interdisciplinary Faculty	8:Average GRE Scores	10:Percent of 1st-yr Students with External funding	18:Student Workspace	19:Student Health Insurance	20:Number of Student Activities Offered	Total Faculty 	Number of Allocated Faculty	Assistant Professors as a Percent of Total Faculty	Tenured Faculty as a Percent of Total Faculty	Number of Core and New Faculty	Number of Students Enrolled	Average Annual First Year Enrollment	Percent of Students with RA	Percent of Students with TA
Public	2	4	43	52	51	117	28	1.23	0.92	67.1	0.15	95	24.1	6.8	21.2	1	10.2	14.1	792	4.5	1	1	18	64	52.48	19	77	55	85	18.2	10.6	71.8
Public	2	1	105	88	98	120	8	0.73	0.82	44.1	0	91.7	41.7	4	0	-1	2.4	38.2	788	0	-1	1	15	34	19.78	9	85	21	26	7	4	56
Public	4	1	126	126	106	127	7	0.87	0.47	34	0.05	0	45.8	6.75	0	1	1.4	13.6	710	6.1	-1	-1	18	22	18.78	14	82	19	12	1.8	11.1	66.7
Public	5	2	125	120	116	101	118	0.44	0.86	32.7	0	100	0	5	55.6	1	4.6	4	741	0	1	-1	15	25	23.62	8	84	24	30	9.4	9.4	90.6
Public	5	1	115	90	102	118	10	0.73	0.4	53.3	0.22	80	28.3	5.5	54.5	-1	3	0	777	10	1	1	17	23	23	4	100	23	24	2	13.6	63.6
Private	1	3	6	4	2	89	93	1.88	1.72	82.4	2.69	87.5	58.5	5	27.8	1	4.8	5	800	9.1	1	1	17	40	25.32	5	90	38	51	9	52.9	43.1
Public	3	3	75	73	73	77	112	0.99	0.71	67.9	0.17	92.3	45	5.8	45.2	1	6	4.7	765	0	-1	1	18	64	27.75	20	77	61	61	12.8	17.5	61.4
Private	1	1	69	87	81	80	127	1.14	0.84	35	0	100	51.9	5.76	31.3	1	3.2	0	793	0	1	1	17	20	20	0	95	20	18	5.6	0	94.4
Public	2	2	126	126	123	102	87	0.65	0.45	16.7	0	100	24.7	7	46.2	1	3.2	0	727	0	-1	1	13	20	20	0	90	20	37	8	0	100
Private	2	3	57	74	70	66	89	0.9	0.7	69.4	0.46	100	65.2	4.7	18.8	1	6.4	0	777	0	1	1	15	29	28.48	14	83	29	47	10	0	44.7
Public	2	4	46	82	73	119	75	0.79	0.83	61.4	0.61	100	17.7	7	19.4	1	9.2	1.6	800	0	1	1	18	62	60.83	3	89	61	122	26	0	0
Public	2	1	125	121	124	110	109	0.55	0.35	23.1	0	100	28.7	5	0	-1	1.8	0	777	16.7	-1	-1	15	26	26	19	73	26	17	5.4	0	64.7
Public	5	2	111	120	105	126	106	0.44	0.94	47.9	0.04	66.7	26.7	7.25	0	-1	1.6	0	777	6.3	-1	1	14	28	24.92	0	82	28	32	8.8	3.3	76.7
Public	1	4	16	16	26	86	33	1.54	0.91	83.6	0.55	93.8	41.5	5.6	35.5	1	9	45.5	800	0	1	1	18	101	55.57	12	77	55	75	24.4	4.2	52.6
Private	1	3	4	3	3	25	78	1.28	1.65	85.6	4.32	100	83.5	4.7	28.3	1	10.2	9.1	800	43.8	1	1	14	44	37.27	2	70	40	60	13.2	11.7	0
Public	2	4	42	59	55	122	25	1.08	1.09	68.9	0.08	88.2	14	7.67	26.2	1	9.6	8.2	800	11.8	1	1	18	73	60.48	11	86	67	150	28.6	14.7	56.9
Private	1	3	67	57	57	103	39	0.84	1.01	83.5	0.47	100	49.9	4.7	0	1	8	56	755	0	-1	-1	17	50	20.16	10	84	22	56	12.4	24.1	44.4
Private	4	2	57	84	84	92	111	0.71	0.89	61.5	0	50	82	5.5	31.6	1	3	0	800	11.1	1	1	18	17	17	0	82	17	28	7	17.9	0
Public	1	4	36	41	30	96	89	1.07	1.46	75.8	0.65	100	36.3	5.33	25	1	9.8	0	784	0	1	1	15	64	58.22	8	91	64	70	11.6	7.5	77.6
Public	2	1	122	122	124	110	23	0.52	0.23	27.3	0.19	100	40	4	0	-1	2	0	777	0	1	-1	13	32	32	13	72	29	15	3.6	0	80
Private	5	4	9	9	12	36	79	1.43	1.36	85.3	1.38	100	78.2	5	28.3	1	10.8	11.5	800	7.7	1	1	16	26	22.95	12	85	23	67	15.2	0	19.4
Public	1	2	124	118	120	114	122	0.54	0.39	35.4	0.04	100	10.7	7	75	-1	1.8	4.3	748	14.3	1	1	14	23	22.38	4	91	22	34	5.2	0	66.7
Public	1	3	104	89	109	27	41	0.88	0.45	28	0.16	87.5	58.4	4.9	63.2	1	5	5	759	0	1	1	18	20	19.17	5	90	19	52	12.2	0	75
Public	1	3	119	120	114	114	32	0.49	1.13	15.5	0.03	85.2	25	6	0	1	4.2	3.1	725	23.1	-1	1	15	32	30.81	N/D	N/D	31	64	16	1.7	49.2
Public	1	3	42	63	59	102	86	1.05	0.92	66	0.74	95.7	31.2	5.9	30	1	7.8	0	793	0	1	1	17	29	27.6	17	72	29	65	12	27.7	55.4
Private	1	1	125	113	124	90	68	0.27	0.43	40	0.31	100	50	6	0	-1	1.6	5	777	0	-1	-1	13	20	19.5	15	35	10	27	6	17.6	82.4
Private	1	2	81	78	79	61	89	0.81	0.84	73.6	0	100	33	5.67	0	1	2.2	0	770	0	1	1	18	30	29.95	3	90	30	35	10.4	2.9	79.4
Public	1	1	114	95	107	42	45	0.78	0.62	38.5	0	100	47	6	68.4	1	4.6	0	751	0	1	1	12	16	16	0	100	16	24	7	10.5	89.5
Public	4	4	41	55	45	111	65	1.31	0.82	83.4	0.15	83.3	32.5	5	17.9	1	8.8	3.2	788	0	1	1	17	63	52.13	14	81	61	70	17.4	14.5	71
Public	4	3	114	118	121	79	64	0.53	0.34	41.4	0	100	38.7	4	0	1	6.4	0	746	0	1	1	17	43	43	14	65	43	45	13.6	9.3	60.5
Private	1	1	113	104	109	114	34	0.73	0.62	30.8	0.07	100	56	5	0	-1	1.4	0	777	0	1	1	18	15	13.91	0	87	15	17	2.2	11.8	52.9
Private	4	1	123	122	113	120	71	0.6	0.37	54.5	0	100	12.2	5	0	1	1	10.5	731	50	1	1	14	19	18	0	84	17	27	7.8	3.7	63
Public	4	1	115	102	100	91	23	1.02	0.45	23.9	0.37	100	36.2	5.4	0	1	4.2	6.3	733	14.3	1	1	14	16	13.61	0	94	15	26	5	0	88.9
Public	5	2	48	53	47	97	100	0.99	1.42	66.4	0.35	100	39.2	6	0	1	3.8	3.6	800	0	1	1	17	56	47.62	14	N/D	54	41	9.75	0	48.8
Public	4	1	116	125	123	117	107	0.42	0.53	34.2	0.09	100	33.3	6.4	0	1	1.6	0	777	0	-1	1	17	11	10.76	9	91	11	10	3.4	0	61.5
Public	5	4	3	8	10	89	120	1.16	1.7	72	2.42	100	43	5.7	27.4	1	24.4	4.4	800	12	1	1	18	68	60.2	6	93	65	157	30.4	19.7	0
Public	5	3	47	33	24	89	114	1.3	1.25	93.5	0.35	100	33	4.72	33.3	1	4	6.3	770	11.1	1	1	18	32	21.34	9	81	30	63	14	11.3	14.5
Public	5	4	52	34	16	120	90	1.41	1.53	82.5	0.53	66.7	13.3	6	35	1	4.8	0	784	19	-1	1	15	31	30.52	3	94	31	66	14	6.1	48.5
Public	5	4	28	31	49	100	117	1.02	1.02	50.9	1.56	85.2	34.2	5	30.2	1	10.6	8.9	800	66.7	1	1	18	45	41.14	0	98	40	117	29.2	0.8	1.6
Public	5	3	104	108	109	97	106	0.59	0.55	58.2	0	81.3	35.6	6	50	1	3	0	758	0	1	1	17	18	17.97	22	72	18	47	11.4	0	40.4
Public	5	4	28	34	36	77	123	1.21	1.12	70.4	0.63	100	45.2	5.5	35.1	1	10.2	0	800	5.6	1	1	18	54	52.73	13	87	54	89	19.8	10	74.4
Public	5	3	54	57	65	60	116	0.96	0.88	71.6	0.23	100	43	5.3	45.8	1	7.2	13.5	786	0	1	1	18	37	31.45	14	84	32	52	12.6	3.8	9.6
Public	5	2	101	107	69	118	108	0.9	0.98	69.2	0.06	100	15.4	6.5	0	1	2.8	0	712	0	1	1	14	17	17	24	76	17	32	7	0	81.3
Private	2	4	39	57	71	79	113	0.64	1.26	57.3	0.65	100	50	6.01	31.5	1	12.2	4.2	800	25	1	1	15	71	65.71	15	54	68	102	17.8	0	49
Public	2	3	105	112	112	125	26	0.67	0.81	24.7	0	76.5	29.5	6	0	-1	2.2	2.9	792	0	1	1	15	35	33.96	3	86	34	48	12.6	0	75
