Var 1	Var 2	Var 3	Var 4	Var 5	Var 6	Var 7	Var 8	Var 9	Var 10	Var 11	Var 12	Var 13	Var 14	Var 15	Var 16	Var 17	Var 18	Var 19	Var 20	Var 21	Var 22	Var 23	Var 24	Var 25	Var 26	Var 27	Var 28	Var 29	Var 30	Var 31	Var 32	Var 33	Var 34	Var 35	Var 36	Var 37	Var 38	Var 39	Var 40	Var 41	Var 42	Var 43	Var 44	Var 45	Var 46	Var 47	Var 48	Var 49	Var 50	Var 51	Var 52	Var 53	Var 54	Var 55	Var 56	Var 57	Var 58	Var 59	Var 60	Var 61	Var 62	Var 63	Var 64	Var 65	Var 66	Var 67	Var 68	Var 69	Var 70	Var 71	Var 72	Var 73	Var 74	Var 75	Var 76	Var 77	Var 78	Var 79	Var 80	Var 81	Var 82	Var 83	Var 84	Var 85	Var 86	Var 87	Var 88	Var 89	Var 90	Var 91	Var 92	Var 93	Var 94	Var 95	Var 96	Var 97	Var 98	Var 99	Var 100	Var 101	Var 102	Var 103	Var 104
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1381684135	0.2371756523	0.2171156527	0.1757412696	0.1576106013	0.133725369	0.1236049172	0.1187609488	0.1105578099	0.1107885128	0.1226481322	0.1320329098	0.1216492793	0.1109487156	0.1034851299	0.0939213599	0.082556132	0.0823173407	0.0800176937	0.0752102689	0.0708574603	0.0717850922	0.0812506047	0.0821451554	0.0844632839	0.0890291555	0.0920739416	0.0944968201	0.097309654	0.1079908669	0.1211663757	0.1222306743	0.1279626567	0.1292226135	0.1278545755	0.1339327322	0.1389528007	0.1389368022	0.1378612105	0.1379048284	0.1377103515	0.1370684758	0.1425297636	0.1380502944	0.1348089437	0.1316311967	0.1321020234	0.1453369887	0.1565580562	0.1817855993	0.1997729722	0.1886158309	0.1822843555	0.1785705999	0.173330996	0.1713816625	0.1759670844	0.1902600358	0.1946903523	0.1861287884	0.1872480525	0.1939117897	0.1939943478	0.1950584612	0.1895609753	0.1805967529	0.1731033639	0.1773143227	0.1840998853	0.1808550896	0.1802426454	0.1652399571	0.159844585	0.1452249998	0.1398700298	0.1388433004	0.1328788922	0.1324249541	0.1359109756	0.1345403457	0.1426110141	0.1382422782	0.1382741858	0.1359965259	0.1304004153	0.1238160184	0.1204964515	0.1238809281
0	0.0023696682	0	0.1049879245	0.1107802005	0.117436494	0.1123166733	0.1107469862	0.0976264286	0.0866846654	0.0826174129	0.0842496287	0.0755536613	0.049064754	0.0404475802	0.0612071419	0.1047257304	0.1087640205	0.1060353331	0.0876346893	0.0821527614	0.0747435909	0.0677506873	0.0625822165	0.055216914	0.0543052433	0.0531251103	0.0535812206	0.0534935531	0.0527253921	0.0494717357	0.0468543256	0.0458759284	0.0468661953	0.0475352895	0.047354472	0.0498384185	0.061588213	0.0754193308	0.0864125268	0.08579461	0.0884751906	0.0828147305	0.06991844	0.0679088305	0.0747378151	0.0860540917	0.0870831871	0.0925292543	0.0905887543	0.0844625314	0.0798191815	0.0761495787	0.0752308586	0.0784118246	0.0786044751	0.0781430071	0.0780330948	0.0823306703	0.0837137916	0.0840203483	0.0811718917	0.0676687867	0.0697706885	0.0716979219	0.0730881858	0.0751754821	0.08159143	0.0797007057	0.0815183969	0.0802574833	0.0809442467	0.0822535733	0.0826252244	0.0745219968	0.0759832659	0.0753500636	0.0765319429	0.0748662614	0.0775610422	0.0818468492	0.0830188757	0.0835579977	0.0951665549	0.0997606753	0.0972095273	0.0964931911	0.0977223593	0.1046386146	0.1009331628	0.0904935701	0.0937364919	0.0940446604	0.0931252789	0.0935756311	0.09712586	0.1005039365	0.0968645525	0.0644143595	0.0162463777	0.0616908076	0.0632052171	0.0657803295	0.0624285309
0	0.0047393365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0355060081	0.0460793393	0.0442452346	0.0389001342	0.0365821689	0.0324394448	0.0295999551	0.0264959255	0.0240441564	0.0241950037	0.025173274	0.0267829505	0.0242370241	0.0237338715	0.0222498621	0.0223384224	0.0207479982	0.0212785208	0.0214728912	0.0205200258	0.0206008794	0.0233026012	0.0276697581	0.0283990163	0.032240694	0.0339430553	0.0326521684	0.0279753536	0.0274319274	0.0290288672	0.0289605434	0.0298016912	0.030426224	0.030081861	0.0281425288	0.0277529669	0.0279571638	0.0286820292	0.0282707459	0.0272851814	0.0293251178	0.0302121085	0.0334028339	0.0334347285	0.0330946784	0.0319771052	0.0313034337	0.0347280902	0.0361731998	0.0375576883	0.0375615921	0.0378010381	0.0371888247	0.0358070698	0.0359656476	0.0345525173	0.035741038	0.0355242284	0.0323401108	0.0297189225	0.0287831339	0.0290241358	0.0254517421	0.0256960124	0.0271772378	0.0272813843	0.0268130113	0.0326052621	0.0342646205	0.0340951356	0.0319470972	0.0298968568	0.0306446756	0.0306407373	0.0307747042	0.0273112264	0.0252542026	0.0250766994	0.0245248082	0.0250436299	0.0255935805	0.0260632856	0.017736649	0.0078515591	0.0321463546	0.0365531698	0.036922413	0.0342313266
0	0.0071090047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1293793957	0.1873463528	0.1961469034	0.1790510121	0.1671439108	0.1516993727	0.1406059493	0.1294583998	0.1193715705	0.1179326185	0.1140466463	0.112722904	0.1073616101	0.1038477602	0.0879316506	0.0784454074	0.0745354363	0.0724931219	0.0706555276	0.0686257114	0.0691402365	0.0688374906	0.0749541343	0.0821154101	0.0879055714	0.0827636137	0.0757998735	0.0659465573	0.0628420616	0.0629674518	0.0603356538	0.057611429	0.0555153987	0.0516016119	0.048345268	0.0471884329	0.0470035324	0.0469209726	0.0457314672	0.0426243159	0.040753795	0.0417129712	0.0428687825	0.0421866959	0.0415066173	0.0389583132	0.0357003728	0.0332076245	0.0262333976	0.0187327104	0.0117549347	0.0109782546	0.0101890423	0.0118357324	0.0176814997	0.0377189162	0.0424056878	0.037508343	0.0387806241	0.0364140694	0.0363090678	0.0376170118	0.0409276244	0.0439081492	0.0481159333	0.0503331106	0.0494565727	0.0620082727	0.072390013	0.0785745993	0.0976358627	0.1036024355	0.1115781139	0.1102294434	0.09793863	0.1034117402	0.1015251896	0.1034566365	0.1035558144	0.1044320237	0.1117309535	0.1097624587	0.0744527074	0	0	0	0	0
0	0.009478673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1136869563	0.1393378346	0.1469660998	0.1362651592	0.1311831576	0.1199919541	0.1106231709	0.1003083949	0.0896538669	0.0852547464	0.080826025	0.0783633865	0.080699725	0.0827253716	0.0710813477	0.0627036104	0.0594522416	0.0571170984	0.0523854643	0.0495726855	0.050662337	0.0488519122	0.0526562556	0.0547546303	0.0512704651	0.0521033226	0.052366735	0.0537293541	0.0548818037	0.0586137325	0.0626707338	0.0638882838	0.0609001286	0.0600864618	0.059081999	0.0603371899	0.0612391237	0.0609734971	0.0591936315	0.0571842844	0.0524773928	0.0524813106	0.051727618	0.0505331494	0.0493927029	0.047205053	0.0451125083	0.0460341268	0.0433035054	0.0475084343	0.0503915429	0.0537782508	0.0528709624	0.0538007808	0.0532986813	0.0539243728	0.0552660314	0.0590841393	0.0587033224	0.0580961921	0.059575874	0.0599542553	0.0613225538	0.0629673697	0.08300867	0.0867294019	0.0884015042	0.0918386448	0.0935107541	0.0996993242	0.1100314667	0.1162753511	0.1183009883	0.1175176895	0.1135378972	0.1028778519	0.0996267021	0.1018462829	0.0977040042	0.1000981625	0.1132781074	0.0957602608	0.0865915629	0.0775370912	0.0934669067	0.0938874691	0.096448819	0.093465143
0	0.0118483412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0347968622	0.0524687623	0.0517412192	0.0445218164	0.041649473	0.0381826859	0.0365156374	0.034209451	0.0303118258	0.0291360509	0.0278594562	0.027439222	0.0253307399	0.0254199598	0.0218582759	0.0186815127	0.0168422456	0.0168373251	0.0152161361	0.0142923105	0.0144492165	0.0144104804	0.0159340039	0.0158455538	0.0155680497	0.0152510278	0.015948665	0.0158726639	0.015990918	0.0178070114	0.0186614285	0.0198170123	0.0200412926	0.0200190117	0.019601134	0.0204887331	0.0195138969	0.0196304923	0.0196465556	0.019005752	0.0192733163	0.0198093898	0.0203779035	0.0202694515	0.0196510272	0.0188022919	0.0177866241	0.0187729443	0.0178982696	0.0182617116	0.0180818946	0.0180084285	0.0166230395	0.0179275006	0.018492917	0.0185929175	0.0186933487	0.0217246481	0.0222120639	0.0220669292	0.0221596817	0.0203752381	0.018931849	0.0185153474	0.0179795414	0.018973591	0.0202980225	0.0230215711	0.0273575594	0.0292121731	0.0313904698	0.03794758	0.0386108005	0.0378877346	0.0371326981	0.0362043199	0.0368951225	0.0392941905	0.0378443415	0.035678747	0.0365798599	0.0370223954	0.037899725	0.0396583017	0.0336212062	0.0324494614	0.0326052967	0.0307490327
0	0.0142180095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0348172978	0.0509471398	0.0534247541	0.0483513731	0.046832928	0.0422706961	0.0399857426	0.0363214953	0.032188818	0.0320819996	0.0321212359	0.0366116196	0.0414330115	0.042310877	0.0366253395	0.0327500487	0.0310453875	0.0318230781	0.0291785339	0.0266222782	0.0270418923	0.0269979659	0.0311958725	0.0328152008	0.034944475	0.0351216995	0.0329213745	0.0303022848	0.0294372438	0.0297116128	0.0315176115	0.0329045062	0.0338829849	0.0325627718	0.0334389876	0.0328415126	0.0331894803	0.0329051129	0.0330770588	0.0310643073	0.0305404086	0.0307090476	0.0313028412	0.0301590293	0.0276766262	0.0269515235	0.0256144367	0.0269480457	0.0268301031	0.027481214	0.0272852925	0.0269454496	0.0248874065	0.0252827595	0.0325930281	0.0232999098	0.0221271415	0.0244988812	0.0254700107	0.0250606296	0.0243242914	0.0323285314	0.0248030555	0.0252946427	0.0258834837	0.026351021	0.0263111615	0.0297237944	0.0326486772	0.0345637282	0.038082852	0.037637954	0.035643707	0.035674194	0.0363663855	0.0370835759	0.0369635062	0.0402640285	0.0391286327	0.0382435181	0.0386372566	0.0384890443	0.035936773	0.0345462087	0.033043283	0.0338268807	0.0334203695	0.0307892581
0	0.0165876777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0449755621	0.070127322	0.0752165136	0.0722116635	0.0720080669	0.0640164744	0.0599970405	0.0566100084	0.0545850132	0.0601050472	0.0686923636	0.0700945436	0.0669647599	0.0648059464	0.0544981983	0.0493913046	0.0464773764	0.0461997311	0.0427985317	0.0385260418	0.0378283971	0.0386975869	0.0448019308	0.0496227762	0.0526361885	0.0550606774	0.0478695232	0.0422448369	0.0427422631	0.044958671	0.0472051321	0.0488218244	0.0501445503	0.0505946954	0.0506868857	0.0514347197	0.0527799811	0.0518602029	0.0552565055	0.0526722208	0.0546470233	0.0551312306	0.0572896989	0.0588647567	0.0591631428	0.0540151229	0.0526786111	0.0571023606	0.0574267246	0.0574144749	0.0585773547	0.0615395705	0.0584952164	0.0621189283	0.0580734898	0.0574588314	0.0560447316	0.0588882677	0.0579294262	0.0573484329	0.0538826397	0.0497090537	0.0488679426	0.048262704	0.0507981758	0.0518622044	0.052489813	0.0572172845	0.0641021058	0.0714433649	0.0743745021	0.0778210859	0.0787955766	0.0765792055	0.0733806829	0.0685806777	0.072394231	0.0786921842	0.0784263623	0.0844079102	0.0892434263	0.0856678844	0.0794558625	0.0789005081	0.078871571	0.0761657869	0.0725094428	0.0684980127
0	0.018957346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0580635905	0.08295649	0.0845029588	0.0764102904	0.0703211759	0.0654179653	0.0617079464	0.0573933807	0.0536254418	0.0519077883	0.0496921279	0.0489510747	0.0494359809	0.0523120582	0.0488269046	0.0445863537	0.0422195252	0.0417776359	0.0367595258	0.0359436041	0.0374301069	0.0387911127	0.0429003874	0.0437644771	0.0411759763	0.0395345877	0.0391902097	0.0373775065	0.0373495766	0.0386236078	0.0417881516	0.0406834129	0.0383468007	0.0378967228	0.0378558913	0.0389434697	0.0397379014	0.0412842278	0.0416532592	0.0414485529	0.0432428823	0.043607457	0.0450922935	0.0463698417	0.0469103161	0.0463630119	0.0453197269	0.0489792622	0.0502811805	0.05140168	0.0520927964	0.0511834759	0.0511794238	0.0531535598	0.0540919193	0.0590973673	0.0638899514	0.069766042	0.0739385099	0.0753884842	0.0761335511	0.0735312673	0.0716016579	0.0715214368	0.0717846372	0.0724464851	0.0702032723	0.0750387298	0.0848922548	0.0896694968	0.0932845147	0.0894565331	0.0894586111	0.0916502527	0.0875795232	0.083686678	0.0793733355	0.0837594094	0.0796351806	0.0802483884	0.0804021077	0.0771290145	0.079654983	0.0871909567	0.0790032487	0.0710738515	0.0680934749	0.0613144016
0	0.0213270142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0452730069	0.0661368947	0.0657293563	0.0613601074	0.0598608882	0.0535738324	0.0497310254	0.0464761872	0.0412015003	0.0403306383	0.0383534375	0.037490204	0.0353913206	0.0377610969	0.0327944806	0.0275646328	0.0258823826	0.0267280327	0.0249282999	0.0226318558	0.0234636401	0.0245975121	0.0261875949	0.0261702211	0.0260854277	0.0246324092	0.0235134504	0.023438824	0.0230563135	0.0255781513	0.0282188956	0.0279362943	0.0271603305	0.0272035266	0.0269020707	0.0272215669	0.0294702096	0.0296404934	0.0281675391	0.0273555562	0.0295631383	0.0310886547	0.0313377861	0.0317674054	0.0327669224	0.0317491851	0.0314427447	0.0342382838	0.0336807617	0.0356699085	0.0360885952	0.0361646858	0.0349699625	0.0357242897	0.0348885005	0.0350578866	0.035575039	0.0375473032	0.0368893297	0.0355975692	0.0356062652	0.0324600148	0.0304907271	0.0291309631	0.0294743619	0.0290324986	0.0279470265	0.0295756532	0.0346397787	0.0379633634	0.0416355841	0.0415583905	0.0388583849	0.0382876817	0.0419466039	0.0435386734	0.045928882	0.0500158771	0.0490637774	0.0515950725	0.0545126634	0.0533222866	0.0490109404	0.0496410724	0.0471260773	0.0471992319	0.0457821935	0.0440908126
