Outlying	Skewed	Clumpy	Sparse	Striated	Convex	Skinny	Stringy	Monotonic
0	0.9908583536	0.4446147154	0.9779086867	0.2222222222	0	1	0.2962962963	0.0461544215
0	0.9867855184	0.3947471412	0.9779086867	0	0	1	0.125	0.0058822908
0	0.9766921609	0.1240229346	0.3269469401	0.0555555556	0	1	0.1984953704	8.59650060733897E-4
0.0253948769	0.6872559244	0.5194214421	0.0589172742	0.8524590164	3.4563991457202175E-4	0.8501772282	0.900077904	0.0526343551
0	0.7585068464	0.2589331953	0.1247256974	0.6666666667	6.359082469178757E-4	0.8849481952	0.7320041171	0.0083384683
0.1020354347	0.7318939306	0.4152397631	0.0736952517	0.7407407407	0.001216894	0.8804149646	0.813037037	0.449117087
0	0.6714304416	0.5478784129	0.0579605472	0.8392857143	9.685898278501324E-5	0.5934550616	0.8910107001	0.0640358142
0	0.7742674512	0.288302633	0.1197979166	0.6853932584	2.02860737718287E-4	0.7937597187	0.729	0.0107231275
0	0.7407916167	0.3364534707	0.1011320422	0.7105263158	9.2440324999837E-4	0.8929794755	0.7611572286	0.280854366
0	0.6377090901	0.0565757734	0.0686219997	0.1140350877	0.6159674517	0.5230791036	0.4078136769	0.8456236654
0	0.8769784192	0.510701354	0.0746762958	0.8301886792	6.216937290399687E-4	0.8511868475	0.884736	0.0387656089
0.0241553024	0.6777893373	0.2931991225	0.0942750011	0.6489361702	3.4676015304102597E-4	0.8745657866	0.6803529986	0.0030752636
0.0397904954	0.674796403	0.3386432366	0.0903326117	0.6933333333	6.264120314181085E-4	0.8748299721	0.757963566	0.3356548561
0	0.5861077281	0.0548878202	0.0648669099	0.0357142857	0.489656666	0.6114790668	0.421875	0.8458655292
0	0.5967147996	0.0987972026	0.0581266236	0.046728972	0.4216383681	0.6543900989	0.4021029047	0.8897338783
0	0.7997458643	0.5430552639	0.0716727298	0.8363636364	4.6977914639392924E-4	0.8306997399	0.8889963587	0.1002148906
0.0397434983	0.8219582468	0.3061752944	0.1394320144	0.6506024096	9.715401767508379E-4	0.871896502	0.7094742661	0.0624573526
0	0.7421684993	0.356999315	0.1040912541	0.7088607595	4.0380623268246655E-4	0.8026652671	0.7702546296	1.603752326817074E-4
0	0.6760576937	0.0374089085	0.0984955023	0.1157024793	0.5659577172	0.4742123265	0.390911001	0.0817079388
0.0483590195	0.6992013005	0.0542481962	0.1022270333	0.1282051282	0.5919725618	0.5033536737	0.5199584079	0.224364217
0	0.6591790538	0.0795282439	0.1109498026	0.0672268908	0.5181529513	0.5211936887	0.5199584079	0.0548007189
0.1036086767	0.7352947181	0.5064733826	0.0618623393	0.8947368421	4.083229005477499E-4	0.8483913731	0.9464402705	0.013768269
0.1122363	0.8195994586	0.2509525168	0.1453919962	0.6555555556	0.0012635637	0.8919754896	0.7320041171	0.0503561356
0	0.7655234642	0.255193942	0.0932778978	0.75	0.0011296062	0.8968188746	0.8197563175	0.0141689144
0.0530640633	0.5657261185	0.0574675789	0.0908911287	0.0578512397	0.608884216	0.5183919766	0.336648311	0.0336205558
0.0234452236	0.5768619807	0.0538577446	0.1010891402	0.0330578512	0.759944732	0.4166037879	0.3113593964	0.0044924017
0.0192897177	0.5105359414	0.0516414021	0.0934585741	0.025	0.6819295192	0.5053242819	0.2812333429	0.0150456472
0.1215016972	0.6177740476	0.1025056863	0.0983044723	0.0347826087	0.5958099641	0.3757113247	0.3846731781	0.0143638736
0.6628859061	0.7765995365	0.5291164141	0.0648074398	0.8085106383	5.189693249943209E-4	0.793514464	0.8697407964	1.9110387194929584E-4
0.176510647	0.7743344493	0.3905210357	0.114876927	0.6951219512	0.0014501358	0.9008026171	0.778688	9.302269027824286E-6
0.275983933	0.7781006397	0.4406406507	0.0824727301	0.6515151515	9.82734275066228E-4	0.853672875	0.7248891075	0.323228468
0.183395814	0.6405715958	0.0498082939	0.0913935125	0.0636363636	0.5919753003	0.3679645537	0.3185095979	0.4403168446
0.0647760603	0.6536607194	0.0615018319	0.0866784799	0.0825688073	0.6711570716	0.3340922966	0.5076975016	0.5026583744
0.0484427828	0.6427968617	0.0582393043	0.0787538173	0.0280373832	0.5635442379	0.4899290504	0.279528903	0.5541404866
0.0740163389	0.6426299503	0.0326435961	0.0931434543	0.0442477876	0.649329206	0.4368115842	0.4029879437	0.0337386505
0.0565677418	0.622202949	0.0470651921	0.0901617091	0.0672268908	0.6742212008	0.4929039223	0.347869013	4.992069094210387E-4
0.0387190433	0.6898596114	0.5553765261	0.052184354	0.8269230769	1.0959324665101568E-4	0.6082380639	0.8824809391	0.0221637648
0.1628564147	0.7580953787	0.4009302223	0.0943823031	0.6153846154	8.196741721990553E-4	0.8636565974	0.6909430183	0.0040762675
0.3347936887	0.7599555185	0.3572583156	0.1060545476	0.671875	0.0012366605	0.8541009613	0.7630335397	0.215157861
0.2417024258	0.6941455776	0.0521743704	0.0764684502	0.1018518519	0.5202592936	0.5298004293	0.4317622977	0.5232739357
0.281814523	0.720953574	0.0866050414	0.0794848399	0.0970873786	0.6169909802	0.5705461122	0.3756153164	0.5631542572
0.1326474463	0.7210155244	0.0430624269	0.0776816161	0.0535714286	0.4582070747	0.4456226645	0.4460224492	0.6652647784
0.2634845996	0.6983279994	0.0452182336	0.0983485891	0.0720720721	0.7163083838	0.378535815	0.3931210459	0.0502639519
0.0967836775	0.7229392706	0.0480904674	0.0959171577	0.0508474576	0.6670396469	0.2792681518	0.3718518119	0.0333402081
0.1855180708	0.6916838458	0.0285952316	0.0869338907	0.067961165	0.7117358413	0.1899065605	0.4584644282	0.2616907131
0.1055237914	0.7783749492	0.5560032956	0.0608727294	0.8163265306	2.4070942693483176E-4	0.7234107861	0.8751541054	0.0763157762
0.2693196089	0.8730306894	0.382069312	0.1472858227	0.6707317073	0.0010332727	0.8882737488	0.7422141828	0.0024506402
0.1030184375	0.7544474326	0.428968878	0.0893939959	0.7297297297	0.0011832822	0.8698094959	0.7952339457	0.2996097549
0.1366442111	0.5994709638	0.0400367698	0.0756255001	0.0642201835	0.5486449946	0.5235437589	0.3185095979	0.6424912293
0.0449526107	0.5185008991	0.0374254464	0.0754468368	0.0172413793	0.6046009726	0.5012792957	0.3067528645	0.5674003298
0.0499171691	0.6187667293	0.0817046262	0.0756764693	0.0892857143	0.7049142354	0.4087703575	0.2496062592	0.647979286
0.1603880535	0.6957952629	0.0556594834	0.0984024827	0.0508474576	0.642315321	0.3059663333	0.3815114966	0.0730509441
0.1208102404	0.6629748707	0.0399146337	0.098201456	0.0689655172	0.5227451851	0.5657935163	0.4359363617	0.0135294252
0.1227865269	0.6347446212	0.0538061609	0.080203191	0.0754716981	0.5762298454	0.5779710829	0.4064421074	0.2484414626
0.2591079901	0.6246242722	0.056556368	0.0752997606	0.0625	0.7614699632	0.3046652875	0.4266329441	0.4522342097
