Control	Regional Code	Program Size Quartile	R Rankings	S Rankings	Research Activity	Student Support & Outcomes	Diversity	1:Publications per Allocated Faculty	2:Citations per Publication	3:Percent Faculty with Grants	4:Awards per Allocated Faculty Member	9:Percent 1st-yr Students with Full Support	15:Average Completion Percentage	16:Median Time to Degree	17:Percent with Academic Plans	Post-Graduation Employment  (1=Yes; -1=No)	14:Average Number of  Ph.D.s Graduated	5:Percent of Interdisciplinary Faculty	8:Average GRE Scores	10:Percent of 1st-yr Students with External funding	18:Student Workspace	19:Student Health Insurance	20:Number of Student Activities Offered	Total Faculty 	Number of Allocated Faculty	Assistant Professors as a Percent of Total Faculty	Tenured Faculty as a Percent of Total Faculty	Number of Core and New Faculty	Number of Students Enrolled	Average Annual First Year Enrollment	Percent of Students with RA	Percent of Students with TA
1	0.5	0.6666666667	0.3548387097	0.2822580645	0.44	0.2743362832	0.9262295082	0.3167701863	0.4351851852	0.8770053476	0.1339491917	1	0.5629791895	0.3559322034	0.572	1	0.1794871795	0.3357142857	0.9571428571	0.2893518519	1	1	0.75	0.2333333333	0.2337641357	0	0.75	0.25	0.2159090909	0.2146118721	0.163	0.279
1	0.5	0.3333333333	0.814516129	0.6532258065	0.648	0.4601769912	0.3852459016	0.6149068323	0.1388888889	0.3893048128	0	1	0.3702081051	0.2542372881	0.632	1	0.1196581197	0	0.7928571429	0	1	1	0.5	0.1555555556	0.2300484653	0.6857142857	0.76	0.234375	0.1306818182	0.202435312	0	0
0	0.5	1	0.6370967742	0.685483871	0.56	0.9115044248	0.4262295082	0.4844720497	0.3842592593	0.5967914439	0.0115473441	0.909	0.0996714129	0.4237288136	0	1	0.1025641026	0	0.8428571429	0	1	1	0.75	0.3555555556	0.5208400646	0.7428571429	0.72	0.515625	0.4431818182	0.5068493151	0.101	0.823
1	0.5	0	0.9435483871	0.9112903226	0.936	0.8230088496	0.2704918033	0.1801242236	0.1157407407	0.4010695187	0	1	0.2552026287	0.4406779661	0	1	0.0085470085	0	0.9642857143	0	1	1	0.5	0.0111111111	0.0200323102	0.2285714286	0.92	0.03125	0.0909090909	0.0867579909	0	0.684
0	0.5	0.6666666667	0.3951612903	0.4596774194	0.4	0.8053097345	0.7049180328	0.602484472	0.3796296296	0.6780748663	0.0438799076	1	0.3975903614	0.4796610169	0	1	0.1709401709	0.3714285714	1	0	1	0	0.625	0.6777777778	0.5455573506	0.5428571429	0.78	0.734375	0.2215909091	0.2389649924	0	0.455
1	0	0.6666666667	0.0161290323	0.0080645161	0.056	0	0.5081967213	0.2857142857	0.7453703704	0.8256684492	0.9237875289	1	1	0.4237288136	0.504	1	0.3846153846	0.1446428571	1	0.462962963	1	1	0.75	0.2888888889	0.3628432956	0.9142857143	0	0.375	0.2443181818	0.2572298326	0	0
1	0.5	0.3333333333	1	0.7338709677	0.96	0.9292035398	0.0409836066	0.099378882	0.0648148148	0.5347593583	0	1	0.3373493976	0.7627118644	0.6066666667	0	0.0769230769	0.0946428571	0.8357142857	0.8263888889	0	0	0.625	0.0888888889	0.1250403877	0	0.79	0.125	0.1704545455	0.1232876712	0	0.379
0	0.25	1	0.2903225806	0.2338709677	0.344	0.6194690265	0.6147540984	0.6397515528	0.3796296296	0.7454545455	0.0277136259	1	0.5213581599	0.593220339	0.46	1	0.3675213675	0.4767857143	0.9285714286	0.193287037	0	1	0.875	0.5444444444	0.5366720517	0.2285714286	0.87	0.53125	0.7954545455	0.799086758	0	0.617
0	0.25	0	0.8629032258	0.8870967742	0.848	0.8318584071	0.9426229508	0.248447205	0.2777777778	0.3647058824	0	1	0.2552026287	0.593220339	0	1	0	0	0.8928571429	0	0	1	0.875	0.2	0.2865912763	0.6	0.66	0.296875	0.0397727273	0.0502283105	0	0.333
0	0.25	0	0.7741935484	0.75	0.896	0.2566371681	0.5327868852	0.3416149068	0.0555555556	0.422459893	0	1	0.8280394304	0.5423728814	0.5	1	0.1111111111	0.1625	0.9071428571	0	0	1	0.625	0.1222222222	0.0878836834	0.6571428571	0.68	0.15625	0.1022727273	0.1050228311	0	0.917
1	0.5	0.3333333333	0.4838709677	0.6451612903	0.616	0.7345132743	0.7459016393	0.298136646	0.3472222222	0.5625668449	0.0969976905	1	0.4687842278	0.593220339	0.3173333333	1	0.0598290598	0	0.9714285714	0	1	1	1	0.1444444444	0.2138933764	0.8285714286	0.71	0.21875	0.1477272727	0.196347032	0	0
0	0.25	0	0.75	0.8467741935	0.952	0.5044247788	0.5081967213	0.1366459627	0.0787037037	0.4534759358	0.0092378753	1	0.6056955093	0.593220339	0.6666666667	1	0.0256410256	0.0607142857	0.8357142857	0	1	1	1	0.2	0.2794830372	0.2	0.76	0.28125	0.1079545455	0.1232876712	0	0.469
0	0.25	0	0.7016129032	0.6935483871	0.784	0.4336283186	0.631147541	0.2608695652	0.2314814815	0.5347593583	0.0138568129	0.5	0.8871851041	0.3898305085	0.6666666667	1	0.0769230769	0.2982142857	0.8357142857	0	1	0	0.75	0.0777777778	0.0809369952	0.8	0.72	0.078125	0.0284090909	0.0258751903	0	0.833
1	0	0	0.9838709677	0.9596774194	0.984	0.5752212389	0.8196721311	0.1118012422	0.0185185185	0.1903743316	0.0531177829	0.625	0.5257393209	0.593220339	0.9333333333	1	0.0769230769	0.3303571429	0.7714285714	0	0	1	0.625	0.1777777778	0.1814216478	0.2	0.81	0.1875	0.1136363636	0.098934551	0	0.786
0	0.75	1	0.6129032258	0.6774193548	0.744	0.6194690265	0.4426229508	0.2857142857	0.1296296296	0.713368984	0.0023094688	0.875	0.3964950712	0.4237288136	0.616	1	0.2393162393	0.2464285714	0.8428571429	0	1	1	0.75	0.5222222222	0.6316639742	0.7428571429	0.74	0.625	0.4147727273	0.6103500761	0.091	0.766
1	0	0.6666666667	0.064516129	0.064516129	0.136	0.3805309735	0.5983606557	0.4596273292	0.412037037	0.7967914439	0.7090069284	1	0.8587075575	0.2711864407	0.484	0	0.5726495726	0	1	0	0	1	0.875	0.2111111111	0.3027463651	0.4857142857	0.7	0.3125	0.3409090909	0.4094368341	0.077	0.615
0	0.25	1	0.3225806452	0.3951612903	0.392	0.9115044248	0.1885245902	0.5962732919	0.3333333333	0.7176470588	0.0346420323	0.95	0.2639649507	0.7288135593	0.2826666667	1	0.3931623932	0.2517857143	0.9428571429	0.0520833333	1	1	1	0.5888888889	0.6739903069	0.5428571429	0.77	0.703125	0.4545454545	0.500761035	0.106	0.718
0	0.25	0	0.8225806452	0.685483871	0.768	0.9380530973	0.0245901639	0.2857142857	0.287037037	0.471657754	0	0.917	0.456736035	0.2542372881	0	0	0.0598290598	0.6821428571	0.9142857143	0	0	1	0.625	0.2555555556	0.1457189015	0.2571428571	0.85	0.171875	0.1193181818	0.1598173516	0.04	0.56
0	0.75	0	0.9919354839	0.9919354839	0.832	1	0.0163934426	0.3726708075	0.125	0.3636363636	0.0115473441	0	0.5016429354	0.7203389831	0	1	0.0170940171	0.2428571429	0.3571428571	0.0706018519	0	0	1	0.1222222222	0.1295638126	0.4	0.82	0.140625	0.0397727273	0.00152207	0.111	0.667
0	1	0.3333333333	0.9838709677	0.9435483871	0.912	0.7699115044	0.9262295082	0.1055900621	0.3055555556	0.3497326203	0	1	0	0.4237288136	0.7413333333	1	0.1538461538	0.0714285714	0.5785714286	0	1	0	0.625	0.1555555556	0.2077544426	0.2285714286	0.84	0.21875	0.1420454545	0.2328767123	0.094	0.906
0	1	0	0.9032258065	0.7016129032	0.8	0.9203539823	0.0409836066	0.2857142857	0.0925925926	0.5700534759	0.0508083141	0.8	0.3099671413	0.5084745763	0.7266666667	0	0.0854700855	0	0.8357142857	0.1157407407	1	1	0.875	0.1333333333	0.1977382876	0.1142857143	1	0.203125	0.1079545455	0.0076103501	0.136	0.636
1	0	0.6666666667	0.0241935484	0.0080645161	0	0.6637168142	0.7213114754	1	0.7037037037	0.8812834225	0.6212471132	0.875	0.6407447974	0.4237288136	0.3706666667	1	0.1623931624	0.0892857143	1	0.1053240741	1	1	0.875	0.3222222222	0.2352180937	0.1428571429	0.9	0.4375	0.2613636364	0.2207001522	0.529	0.431
0	0.5	0.6666666667	0.5806451613	0.564516129	0.568	0.5575221239	0.8770491803	0.4472049689	0.2361111111	0.7262032086	0.03926097	0.923	0.4928806134	0.5593220339	0.6026666667	1	0.2136752137	0.0839285714	0.75	0	0	1	1	0.5888888889	0.2744749596	0.5714285714	0.77	0.796875	0.3181818182	0.3363774734	0.175	0.614
1	0	0	0.5322580645	0.6774193548	0.632	0.5840707965	1	0.5403726708	0.2962962963	0.3743315508	0	1	0.5684556407	0.5525423729	0.4173333333	1	0.094017094	0	0.95	0	1	1	0.875	0.1	0.149273021	0	0.95	0.15625	0.0738636364	0.1171993912	0	0.944
0	0.25	0.3333333333	0.9919354839	0.9919354839	0.968	0.7787610619	0.6721311475	0.2360248447	0.1157407407	0.1786096257	0	1	0.2705366922	0.7627118644	0.616	1	0.094017094	0	0.4785714286	0	0	1	0.375	0.1	0.149273021	0	0.9	0.15625	0.1818181818	0.1902587519	0	1
1	0.25	0.6666666667	0.435483871	0.5725806452	0.544	0.4601769912	0.6885245902	0.3913043478	0.2314814815	0.7422459893	0.1062355658	1	0.7141292442	0.3728813559	0.2506666667	1	0.2307692308	0	0.8357142857	0	1	1	0.625	0.2	0.2862681745	0.4	0.83	0.296875	0.2386363636	0.2511415525	0	0.447
0	0.25	1	0.3467741935	0.6370967742	0.568	0.9292035398	0.5737704918	0.3229813665	0.2916666667	0.656684492	0.1408775982	1	0.1938663746	0.7627118644	0.2586666667	1	0.3504273504	0.0285714286	1	0	1	1	1	0.5666666667	0.8088852989	0.0857142857	0.89	0.796875	0.6647727273	0.7382039574	0	0
0	0.25	0	0.9838709677	0.9516129032	0.976	0.8495575221	0.8524590164	0.1739130435	0.0694444444	0.2470588235	0	1	0.3143483023	0.4237288136	0	0	0.0341880342	0	0.8357142857	0.193287037	0	0	0.625	0.1666666667	0.2462035541	0.5428571429	0.73	0.25	0.0681818182	0.1111111111	0	0.647
0	1	0.3333333333	0.8709677419	0.9435483871	0.824	0.9911504425	0.8278688525	0.1055900621	0.3425925926	0.5122994652	0.0092378753	0.667	0.2924424973	0.8050847458	0	0	0.0256410256	0	0.8357142857	0.0729166667	0	1	0.5	0.1888888889	0.2287560582	0	0.82	0.28125	0.1534090909	0.2146118721	0.033	0.767
0	0	1	0.1048387097	0.1048387097	0.192	0.6371681416	0.2295081967	0.7888198758	0.3287037037	0.8941176471	0.1270207852	0.938	0.4545454545	0.5254237288	0.4733333333	1	0.3418803419	0.8125	1	0	1	1	1	1	0.7239095315	0.3428571429	0.77	0.703125	0.3977272727	0.6894977169	0.042	0.526
1	0	0.6666666667	0.0080645161	0	0.008	0.0973451327	0.5983606557	0.6273291925	0.6712962963	0.9155080214	0.9976905312	1	0.9145673604	0.3728813559	0.3773333333	1	0.3931623932	0.1625	1	0.5069444444	1	1	0.5	0.3666666667	0.4282714055	0.0571428571	0.7	0.46875	0.3125	0.3485540335	0.117	0
0	0.25	1	0.314516129	0.4516129032	0.424	0.9557522124	0.1639344262	0.5031055901	0.412037037	0.7368983957	0.0184757506	0.882	0.1533406353	0.8762711864	0.3493333333	1	0.3675213675	0.1464285714	1	0.1365740741	1	1	1	0.6888888889	0.8032310178	0.3142857143	0.86	0.890625	0.8238636364	0.8173515982	0.147	0.569
1	0	0.6666666667	0.5161290323	0.435483871	0.44	0.7876106195	0.2786885246	0.3540372671	0.375	0.8930481283	0.1085450346	1	0.5465498357	0.3728813559	0	1	0.2991452991	1	0.6785714286	0	0	0	0.875	0.4333333333	0.1518578352	0.2857142857	0.84	0.1875	0.2897727273	0.3242009132	0.241	0.444
1	0.75	0.3333333333	0.435483871	0.6532258065	0.656	0.6902654867	0.868852459	0.2732919255	0.3194444444	0.6577540107	0	0.5	0.8981380066	0.5084745763	0.4213333333	1	0.0854700855	0	1	0.1284722222	1	1	1	0.0666666667	0.1008077544	0	0.82	0.109375	0.1306818182	0.1598173516	0.179	0
0	0	1	0.2661290323	0.3064516129	0.224	0.7256637168	0.6885245902	0.4968944099	0.5833333333	0.8106951872	0.1501154734	1	0.3975903614	0.4796610169	0.3333333333	1	0.3760683761	0	0.8857142857	0	1	1	0.625	0.5888888889	0.766720517	0.2285714286	0.91	0.84375	0.3693181818	0.299847793	0.075	0.776
0	0.25	0	0.9596774194	0.9596774194	0.976	0.8495575221	0.1475409836	0.1552795031	0.0138888889	0.2919786096	0.0438799076	1	0.4381161008	0.2542372881	0	0	0.0427350427	0	0.8357142857	0	1	0	0.375	0.2333333333	0.3431340872	0.3714285714	0.72	0.296875	0.0568181818	0.0563165906	0	0.8
1	1	1	0.0483870968	0.0483870968	0.08	0.1946902655	0.606557377	0.7204968944	0.537037037	0.9122994652	0.3187066975	1	0.856516977	0.4237288136	0.3773333333	1	0.4188034188	0.2053571429	1	0.0891203704	1	1	0.75	0.1666666667	0.1969305331	0.3428571429	0.85	0.203125	0.3522727273	0.4094368341	0	0.194
0	0	0.3333333333	0.9758064516	0.9274193548	0.944	0.8849557522	0.9590163934	0.1677018634	0.087962963	0.3786096257	0.0092378753	1	0.117196057	0.7627118644	1	0	0.0341880342	0.0767857143	0.6285714286	0.1655092593	1	1	0.5	0.1333333333	0.1877221325	0.1142857143	0.91	0.1875	0.1647727273	0.1050228311	0	0.667
0	0	0.6666666667	0.814516129	0.6935483871	0.856	0.1150442478	0.2950819672	0.3788819876	0.1157407407	0.2994652406	0.0369515012	0.875	0.6396495071	0.406779661	0.8426666667	1	0.1709401709	0.0892857143	0.7071428571	0	1	1	1	0.1	0.1358642973	0.1428571429	0.9	0.140625	0.2670454545	0.3181126332	0	0.75
0	0	0.6666666667	0.935483871	0.9435483871	0.896	0.8849557522	0.2213114754	0.1366459627	0.4305555556	0.1657754011	0.0069284065	0.852	0.273822563	0.593220339	0	1	0.1367521368	0.0553571429	0.4642857143	0.2673611111	0	1	0.625	0.2333333333	0.3239095315	0	0	0.328125	0.3352272727	0.4337899543	0.017	0.492
0	0	0.6666666667	0.314516129	0.4838709677	0.456	0.7787610619	0.6639344262	0.4844720497	0.3333333333	0.7058823529	0.1709006928	0.957	0.3417305586	0.5762711864	0.4	1	0.2905982906	0	0.95	0	1	1	0.875	0.2	0.2720516963	0.4857142857	0.72	0.296875	0.3409090909	0.3120243531	0.277	0.554
1	0	0	0.9838709677	0.8870967742	0.976	0.6725663717	0.5163934426	0	0.1064814815	0.4278074866	0.0715935335	1	0.547645126	0.593220339	0	0	0.0256410256	0.0892857143	0.8357142857	0	0	0	0.375	0.1	0.1411954766	0.4285714286	0.35	0	0.125	0.1293759513	0.176	0.824
1	0	0.3333333333	0.6290322581	0.6048387097	0.616	0.4159292035	0.6885245902	0.3354037267	0.2962962963	0.7871657754	0	1	0.3614457831	0.5372881356	0	1	0.0512820513	0	0.7857142857	0	1	1	1	0.2111111111	0.3100161551	0.0857142857	0.9	0.3125	0.1704545455	0.2633181126	0.029	0.794
0	0	0	0.8951612903	0.7419354839	0.84	0.2477876106	0.3278688525	0.3167701863	0.1944444444	0.4117647059	0	1	0.5147864184	0.593220339	0.912	1	0.1538461538	0	0.65	0	1	1	0.25	0.0555555556	0.0846526656	0	1	0.09375	0.1079545455	0.1598173516	0.105	0.895
0	0.75	1	0.3064516129	0.4193548387	0.344	0.8584070796	0.4918032787	0.6459627329	0.287037037	0.8919786096	0.0346420323	0.833	0.3559693319	0.4237288136	0.2386666667	1	0.3333333333	0.0571428571	0.9142857143	0	1	1	0.875	0.5777777778	0.6683360258	0.4	0.81	0.796875	0.3693181818	0.4764079148	0.145	0.71
0	0.75	0.6666666667	0.8951612903	0.9274193548	0.952	0.5752212389	0.4836065574	0.1614906832	0.0648148148	0.4427807487	0	1	0.4238773275	0.2542372881	0	1	0.2307692308	0	0.6142857143	0	1	1	0.875	0.3555555556	0.5208400646	0.4	0.65	0.515625	0.2272727273	0.3607305936	0.093	0.605
1	0	0	0.8870967742	0.814516129	0.856	0.8849557522	0.237704918	0.2857142857	0.1944444444	0.3294117647	0.0161662818	1	0.6133625411	0.4237288136	0	0	0.0170940171	0	0.8357142857	0	1	1	1	0.0444444444	0.0508885299	0	0.87	0.078125	0.0681818182	0.0136986301	0.118	0.529
1	0.75	0	0.9677419355	0.9596774194	0.888	0.9380530973	0.5409836066	0.2049689441	0.0787037037	0.5828877005	0	1	0.1336254107	0.4237288136	0	1	0	0.1875	0.5071428571	0.5787037037	1	1	0.5	0.0888888889	0.1169628433	0	0.84	0.109375	0.125	0.1841704718	0.037	0.63
0	0.75	0	0.9032258065	0.7983870968	0.784	0.6814159292	0.1475409836	0.4658385093	0.1157407407	0.2556149733	0.0854503464	1	0.3964950712	0.4915254237	0	1	0.1367521368	0.1125	0.5214285714	0.1655092593	1	1	0.5	0.0555555556	0.0460420032	0	0.94	0.078125	0.1193181818	0.098934551	0	0.889
0	1	0.3333333333	0.3629032258	0.4032258065	0.36	0.7345132743	0.7786885246	0.4472049689	0.5648148148	0.7101604278	0.0808314088	1	0.4293537788	0.593220339	0	1	0.1196581197	0.0642857143	1	0	1	1	0.875	0.5	0.5954765751	0.4	0	0.6875	0.2045454545	0.2435312024	0	0.488
0	0.75	0	0.9112903226	0.9838709677	0.968	0.9115044248	0.8360655738	0.0931677019	0.1527777778	0.3657754011	0.0207852194	1	0.3647316539	0.6610169492	0	1	0.0256410256	0	0.8357142857	0	0	1	0.875	0	0	0.2571428571	0.91	0.015625	0.0284090909	0.0502283105	0	0.615
0	1	1	0	0.0403225806	0.064	0.6637168142	0.9426229508	0.5527950311	0.6944444444	0.7700534759	0.558891455	1	0.4709748083	0.5423728814	0.3653333333	1	1	0.0785714286	1	0.1388888889	1	1	1	0.6333333333	0.7987075929	0.1714285714	0.93	0.859375	0.8636363636	0.8721461187	0.197	0
0	1	0.6666666667	0.3548387097	0.2419354839	0.176	0.6637168142	0.893442623	0.6397515528	0.4861111111	1	0.0808314088	1	0.3614457831	0.3762711864	0.444	1	0.1282051282	0.1125	0.7857142857	0.1284722222	1	1	1	0.2333333333	0.1709208401	0.2571428571	0.81	0.3125	0.3295454545	0.3729071537	0.113	0.145
0	1	1	0.3951612903	0.25	0.112	0.9380530973	0.6967213115	0.7080745342	0.6157407407	0.8823529412	0.1224018476	0.667	0.1456736035	0.593220339	0.4666666667	1	0.1623931624	0	0.8857142857	0.2199074074	0	1	0.625	0.2222222222	0.3192245557	0.0857142857	0.94	0.328125	0.3465909091	0.3729071537	0.061	0.485
0	1	1	0.2016129032	0.2258064516	0.376	0.7610619469	0.9180327869	0.4658385093	0.3796296296	0.5443850267	0.3602771363	0.852	0.3745892662	0.4237288136	0.4026666667	1	0.4102564103	0.1589285714	1	0.7719907407	1	1	1	0.3777777778	0.4907915994	0	0.98	0.46875	0.6363636364	0.8356164384	0.008	0.016
0	1	0.6666666667	0.814516129	0.8467741935	0.856	0.7345132743	0.8278688525	0.198757764	0.162037037	0.622459893	0	0.813	0.3899233297	0.593220339	0.6666666667	1	0.0854700855	0	0.7	0	1	1	0.875	0.0777777778	0.1164781906	0.6285714286	0.72	0.125	0.2386363636	0.2937595129	0	0.404
0	1	1	0.2016129032	0.25	0.272	0.5575221239	0.9672131148	0.5838509317	0.4259259259	0.7529411765	0.1454965358	1	0.4950711939	0.5084745763	0.468	1	0.3931623932	0	1	0.0648148148	1	1	1	0.4777777778	0.6780290792	0.3714285714	0.87	0.6875	0.4772727273	0.5494672755	0.1	0.744
0	1	0.6666666667	0.4112903226	0.435483871	0.504	0.407079646	0.9098360656	0.4285714286	0.3148148148	0.7657754011	0.0531177829	1	0.4709748083	0.4745762712	0.6106666667	1	0.264957265	0.2410714286	0.9	0	1	1	1	0.2888888889	0.3342487884	0.4	0.84	0.34375	0.2670454545	0.3302891933	0.038	0.096
0	1	0.3333333333	0.7903225806	0.8387096774	0.536	0.9203539823	0.8442622951	0.3913043478	0.3611111111	0.7401069519	0.0138568129	1	0.1686746988	0.6779661017	0	1	0.0769230769	0	0.3714285714	0	1	1	0.5	0.0666666667	0.1008077544	0.6857142857	0.76	0.109375	0.1534090909	0.1598173516	0	0.813
1	0.25	1	0.2903225806	0.435483871	0.552	0.5752212389	0.8852459016	0.2298136646	0.4907407407	0.6128342246	0.1501154734	1	0.547645126	0.5949152542	0.42	1	0.4786324786	0.075	1	0.2893518519	1	1	0.625	0.6666666667	0.8877221325	0.4285714286	0.54	0.90625	0.5511363636	0.4885844749	0	0.49
0	0.25	0.6666666667	0.8225806452	0.8790322581	0.88	0.982300885	0.1721311475	0.248447205	0.2824074074	0.264171123	0	0.765	0.3231106243	0.593220339	0	0	0.0512820513	0.0517857143	0.9428571429	0	1	1	0.625	0.2666666667	0.3747980614	0.0857142857	0.86	0.375	0.2443181818	0.3302891933	0	0.75
0	1	1	0.814516129	0.9838709677	0.912	0.9646017699	0.9590163934	0.1677018634	0.087962963	0.520855615	0.0069284065	0.632	0.1599123768	0.6474576271	0.364	1	0.1367521368	0.0517857143	0.7785714286	0	1	1	0.625	0.2555555556	0.3613893376	0.6	0.76	0.359375	0.3863636364	0.4277016743	0	0.667
