Outlying	Skewed	Clumpy	Sparse	Striated	Convex	Skinny	Stringy	Monotonic
0	0.8358823208	0.141777477	0.1541800207	0.5	0.0802021137	0.4334859532	0.6836869669	0.008964191
0	0.8205613655	0.144077707	0.1167065109	0.5471698113	0.0863644415	0.558947937	0.7135991062	0.0535094566
0.0584627736	0.7389204136	0.0411702586	0.0708635442	0.0217391304	0.4720667639	0.5985617284	0.4570138985	0.5996508994
0.4119266793	0.8429918942	0.2103966213	0.1611625864	0.375	0.0739210417	0.4932165272	0.740632761	0.1867283851
0.557154624	0.723454083	0.06293225	0.0626768746	0.1698113208	0.4766245678	0.6185161125	0.7135991062	0.0576601127
0.5897949795	0.7353112549	0.1125378147	0.0785354918	0.0416666667	0.3516105003	0.6708676048	0.6836869669	0.0667950635
0	0.7306581483	0.207959547	0.0921308599	0.25	0.078285773	0.5784143677	0.438976	0.0320171266
0.4740305616	0.7539560596	0.0951331285	0.0628532028	0.0454545455	0.4517058612	0.5832891434	0.540974445	0.1901604076
0.442282258	0.8694253769	0.0468545919	0.086728754	0.0461538462	0.6454709542	0.54189578	0.315614074	0.0397530483
1.1593344149	0.925927066	0.0592339717	0.1351508981	0.1304347826	0.9548812554	0.1551128784	0.5971715994	0.0115081257
0	0.7608223446	0.0900513885	0.1645076931	0.4791666667	0.0802190714	0.4660863819	0.6836869669	0.0213958703
0.0684193146	0.748371671	0.0580808192	0.0627382623	0.0510204082	0.4765432974	0.6180557543	0.4056508511	0.534536499
0.3170967715	0.8468708069	0.0330801543	0.0881157976	0.0681818182	0.3831626364	0.6057356052	0.4037971562	0.5822006782
0.657456043	0.7605496623	0.082635287	0.0726539361	0.1836734694	0.4078671942	0.6060252906	0.5702761132	0.0842884024
0.5921282882	0.8479826793	0.0996554722	0.0737386285	0.0634920635	0.3619541257	0.6255217894	0.355396412	0.1662922203
0	0.8201704899	0.1487075693	0.1935588503	0.425	0.0359908763	0.5551312214	0.7702546296	0.029641168
0.845327519	0.8685857896	0.0549217068	0.0819828378	0.0461538462	0.1920871506	0.5717927628	0.3644314869	0.4866271683
