Var 1	Var 2	Var 3	Var 4	Var 5	Var 6	Var 7	Var 8	Var 9	Var 10	Var 11	Var 12	Var 13	Var 14	Var 15	Var 16	Var 17	Var 18	Var 19	Var 20	Var 21	Var 22	Var 23	Var 24	Var 25	Var 26	Var 27	Var 28	Var 29	Var 30	Var 31	Var 32	Var 33	Var 35	Var 32
0.4614350981	0.8357414329	0.7230322103	0.0687834014	0.0771789754	0.6654370034	0.0691258018	0.1905448896	0.0143302181	0.6164383562	0.3494299128	0.6318465366	0	1	0.7391304348	0.765625	0.3333333333	0	0.6493506494	0.1268656716	0.2054794521	0.4583333333	0.3888888889	0	0	0	0	0	0	0	0.2	0	0.2916666667	0	0.4017389616
0.613544746	0.2724031787	0.237150223	0	0.0153027279	0.2813564132	0.5735846951	0.1133059594	0	0.5479452055	0.0992622401	0.4063029604	0	0.2903225806	0.2608695652	0.4375	0.4444444444	0	0.3506493506	0.4776119403	0.1095890411	0.25	0.3333333333	0.3333333333	0	0	0	0	0	0	0.0571428571	0	0.625	0.6	0.6503925362
0	0.7161478783	0.7467643029	0	0.0711909514	0.7447502838	0.0286469442	0.210298524	0.0124610592	0.5205479452	0.1522468142	0.6003677929	0	0.6451612903	0.3913043478	0.609375	0.6666666667	0	0.6623376623	0.0820895522	0.1369863014	0.5277777778	0.5555555556	0.6	0	0	0	0	0	0	0.1714285714	0	0.5	0	0.5270816371
0.5850577802	0.8421333668	0.9075139955	0	0.0515635396	0.7955448354	0.0110266417	0.2059704805	0.0124610592	0.7671232877	0.1059691482	0.5582158439	0	0.5483870968	0.5217391304	0.5625	0.5555555556	0	0.6363636364	0.0671641791	0.1506849315	0.6180555556	0.5	0	0	0	0	0	0	0	0.1714285714	0	0.5416666667	0	0.197732179
0.7391830153	0.8501900305	0.8105328122	0	0.0715236194	0.7778093076	0.069281275	0.2208411941	0.014953271	0.5205479452	0.1106639839	0.5896224714	0	0.3870967742	0.4347826087	0.609375	0.5555555556	0	0.6753246753	0.0970149254	0.1780821918	0.6215277778	0.5	0.2	0	0	0	0	0	0	0.2285714286	0	0.4583333333	0	0.2355665444
0	0.6474856299	0.761873706	0	0.0489021956	0.6969353008	0.0437238636	0.2485850627	0.0180685358	0.6849315068	0.6646545942	0.5776151156	0	0.2580645161	0.5652173913	0.671875	0.5555555556	0	0.6363636364	0.1417910448	0.2191780822	0.5347222222	0.5555555556	0.2666666667	0	0	0	0	0	0	0.3428571429	0	0.5	0.6	0.5073390452
0	0.6543801238	0.780033878	0	0.0286094478	0.7949772985	0.0228346363	0.2567972478	0.0087227414	0.5205479452	0.0583501006	0.5374824217	0	0.1935483871	0.4782608696	0.640625	0.3333333333	0	0.6623376623	0.1194029851	0.2054794521	0.7083333333	0.6666666667	0.6	0	0	0	0	0.7777777778	0	0.1428571429	0	0.625	0	0.5167509505
0	0.7561956214	0.9395492566	0	0.0375914837	0.8125709421	0.0415671704	0.2701143047	0.015576324	0.698630137	0.0482897384	0.5179028594	0	0.1612903226	0.4347826087	0.59375	0.2222222222	0	0.6363636364	0.1455223881	0.2054794521	0.8194444444	0.5555555556	0	0	0	0	0	0	0	0.1428571429	0	0.4583333333	0	0.1619370598
0	0.7104626692	0.89776204	0	0.0335994677	0.8625141884	0.015041041	0.2910886694	0.0323987539	0.904109589	0.8497652582	0.6753326362	0	0.7741935484	0.6086956522	0.703125	0.8888888889	0	0.7532467532	0.1865671642	0.3424657534	0.6319444444	0.6666666667	0.3333333333	0	0	0	0	0	0	0.4571428571	0	0.4583333333	0	0.2560710524
0.6960494491	0.7930081352	0.7353184486	0.1743476894	0.1490352628	0.8133513053	0.1045139069	0.2410387304	0.014953271	0.7671232877	0.0516431925	0.6348754192	0	0.4193548387	0.7826086957	0.828125	0.4444444444	0	0.7532467532	0.1753731343	0.2602739726	0.6527777778	0.6111111111	0.3333333333	0	0	0	0	0	0.6	0.2	0	0.5416666667	0	0.2905440231
0	0.6401199862	0.7059881733	0.1095253065	0.9174983367	0.7315550511	0.0986816665	0.5242481412	0.3501557632	0	0.3775989269	0.5879277395	0	0.5483870968	0.5652173913	0.71875	0.4444444444	0	0.6883116883	0.3358208955	0.3424657534	0.4930555556	0.7222222222	0.6	0	0	0	0	0	0	0.2	0	0.8333333333	0	0.4454370934
0	0.6434494456	0.7906130864	0.0080477837	0.0319361277	0.6808314415	0.0899711777	0.2688935745	0.0224299065	0.6712328767	0.362843729	0.5146576281	0	0.4838709677	0.6086956522	0.671875	0.4444444444	0	0.7012987013	0.1940298507	0.2876712329	0.5625	0.6666666667	0.3333333333	0	0	0	0	0	0	0.2571428571	0	0.375	0.6	0.3894063777
0.5544208546	0.9548481327	0.8620894921	0.0546997799	0.1084497671	0.8977724177	0.0454181234	0.2476972589	0.0180685358	0.6712328767	0.0663983903	0.5928316446	0	0.2903225806	0.4782608696	0.75	0.2222222222	0	0.6883116883	0.1194029851	0.2191780822	0.6215277778	0.6111111111	0	0	0	0	0	0	0	0.2	0	0.4583333333	0.6	0.1306088606
